ProgramomraadeNivaa;UtdanningstypeKode;Utdanningsprogramkode;Programomraadekode;UtdanningstypeNavn;UtdanningsprogramNavn;ProgramomraadeNavn;Trinn;År;Progresjon totalt;Overgang til studieforberedende utdanningsprogram;Overgang til påbygg;Overgang til opplæring i bedrift;Overgang til alternativt Vg3 i skole;Overgang til yrkesfaglig utdanningsprogram
3;YRK;BA;BATRT2;Yrkesfaglig;Bygg- og anleggsteknikk;BATRT2 - Treteknikk;Vg2;2022;62,5;0;12,5;50;0;0
3;YRK;BA;BAANG2;Yrkesfaglig;Bygg- og anleggsteknikk;BAANG2 - Anleggsgartner;Vg2;2022;71,9;0;12,5;56,3;0;3,1
3;YRK;BA;BAANL2;Yrkesfaglig;Bygg- og anleggsteknikk;BAANL2 - Anleggsteknikk;Vg2;2022;82,6;0;0;81,5;0;1,1
2;YRK;EL;EL;Yrkesfaglig;Elektro og datateknologi;Elektro og datateknologi;Vg2;2022;83,7;0;6,2;59,6;1;16,9
3;YRK;EL;ELAUT2;Yrkesfaglig;Elektro og datateknologi;ELAUT2 - Automatisering;Vg2;2022;75,6;0;4,4;2,2;0;68,9
3;YRK;EL;ELDEL2;Yrkesfaglig;Elektro og datateknologi;ELDEL2 - Datateknologi og elektronikk;Vg2;2022;85;0;7,5;45;0;32,5
3;YRK;EL;ELELE2;Yrkesfaglig;Elektro og datateknologi;ELELE2 - Elenergi og ekom;Vg2;2022;85,1;0;6,3;73,9;1,4;3,6
2;YRK;FD;FD;Yrkesfaglig;Frisør, blomster, interiør og eksponeringsdesign;Frisør, blomster, interiør og eksponeringsdesign;Vg2;2022;63,5;0;6,3;39,7;3,2;14,3
3;YRK;FD;FDBLD2;Yrkesfaglig;Frisør, blomster, interiør og eksponeringsdesign;FDBLD2 - Blomsterdekoratør;Vg2;2022;72,7;0;0;63,6;9,1;0
3;YRK;FD;FDFRI2;Yrkesfaglig;Frisør, blomster, interiør og eksponeringsdesign;FDFRI2 - Frisør;Vg2;2022;57,1;0;9,5;42,9;2,4;2,4
3;YRK;FD;FDIED2;Yrkesfaglig;Frisør, blomster, interiør og eksponeringsdesign;FDIED2 - Interiør og eksponeringsdesign;Vg2;2022;80;0;0;0;0;80
2;YRK;HS;HS;Yrkesfaglig;Helse- og oppvekstfag;Helse- og oppvekstfag;Vg2;2022;78,4;0,1;45,4;24,3;2,2;6,3
3;YRK;HS;HSAMB2;Yrkesfaglig;Helse- og oppvekstfag;HSAMB2 - Ambulansefag;Vg2;2022;83,9;0;48,4;35,5;0;0
3;YRK;HS;HSBUA2;Yrkesfaglig;Helse- og oppvekstfag;HSBUA2 - Barne- og ungdomsarbeiderfag;Vg2;2022;79,3;0;45,2;32,2;1,1;0,7
3;YRK;HS;HSHEA2;Yrkesfaglig;Helse- og oppvekstfag;HSHEA2 - Helsearbeiderfag;Vg2;2022;78,2;0;51,4;22,8;3,7;0,3
3;YRK;HS;HSHES2;Yrkesfaglig;Helse- og oppvekstfag;HSHES2 - Helseservicefag;Vg2;2022;74,4;1,3;15,4;0;0;57,7
