EnhetNivaa;Nasjonaltkode;Fylkekode;Organisasjonsnummer;Nasjonalt;Fylke;EnhetNavn;Utdanningsprogram;Trinn;År;Progresjon totalt;Overgang til studieforberedende utdanningsprogram;Overgang til påbygg;Overgang til opplæring i bedrift;Overgang til alternativt Vg3 i skole;Overgang til yrkesfaglig utdanningsprogram
2;I;38;38;Hele landet;Vestfold og Telemark;Vestfold og Telemark;Yrkesfag;Vg2;2021;76,7;0;22,8;45,6;2;6,2
3;I;38;974575086;Hele landet;Vestfold og Telemark;Færder videregående skole;Yrkesfag;Vg2;2021;73,7;0;10;61,7;0,5;1,4
3;I;38;990745277;Hele landet;Vestfold og Telemark;Gjennestad videregående skole;Yrkesfag;Vg2;2021;72,3;0;29,2;43,1;0;0
3;I;38;974574993;Hele landet;Vestfold og Telemark;Greveskogen videregående skole;Yrkesfag;Vg2;2021;64,2;0;17,9;46,3;0;0
3;I;38;874575062;Hele landet;Vestfold og Telemark;Holmestrand videregående skole;Yrkesfag;Vg2;2021;57,1;0;14,3;33,3;4,8;4,8
3;I;38;923261354;Hele landet;Vestfold og Telemark;Horten videregående skole;Yrkesfag;Vg2;2021;79,9;0;38,4;32,9;1,2;7,3
3;I;38;994309153;Hele landet;Vestfold og Telemark;Kompetansebyggeren;Yrkesfag;Vg2;2021;100;0;0;0;100;0
3;I;38;974575051;Hele landet;Vestfold og Telemark;Melsom videregående skole;Yrkesfag;Vg2;2021;87;0;47,8;4,3;0;34,8
3;I;38;974575000;Hele landet;Vestfold og Telemark;Nøtterøy videregående skole;Yrkesfag;Vg2;2021;88,7;0;41,9;25,8;4,8;16,1
3;I;38;874575232;Hele landet;Vestfold og Telemark;Re videregående skole;Yrkesfag;Vg2;2021;87,3;0;26,8;59,9;0,7;0
3;I;38;974575116;Hele landet;Vestfold og Telemark;Sande videregående skole;Yrkesfag;Vg2;2021;77;0;32,8;41;3,3;0
3;I;38;974575019;Hele landet;Vestfold og Telemark;Sandefjord videregående skole;Yrkesfag;Vg2;2021;74,7;0;24,7;35,8;0,9;13,3
3;I;38;974575027;Hele landet;Vestfold og Telemark;Thor Heyerdahl videregående skole;Yrkesfag;Vg2;2021;70,9;0;20,5;46,4;1,1;2,9
1;I;;I;Hele landet;Alle fylker;Hele landet;Alle utdanningsprogram;Vg2;2022;87,6;51,2;10,8;21,9;0,3;3,4
2;I;07;07;Hele landet;Vestfold;Vestfold;Alle utdanningsprogram;Vg2;2022;;;;;;
2;I;38;38;Hele landet;Vestfold og Telemark;Vestfold og Telemark;Alle utdanningsprogram;Vg2;2022;85,5;49,5;10;22,4;0,9;2,8
3;I;38;974575086;Hele landet;Vestfold og Telemark;Færder videregående skole;Alle utdanningsprogram;Vg2;2022;79;12,2;6,6;57,2;0;3,1
3;I;38;990745277;Hele landet;Vestfold og Telemark;Gjennestad videregående skole;Alle utdanningsprogram;Vg2;2022;78,5;0;21,5;57;0;0
3;I;38;974574993;Hele landet;Vestfold og Telemark;Greveskogen videregående skole;Alle utdanningsprogram;Vg2;2022;87,2;68,5;4,5;14,2;0;0
3;I;38;874575062;Hele landet;Vestfold og Telemark;Holmestrand videregående skole;Alle utdanningsprogram;Vg2;2022;81;50;11,9;19;0;0
3;I;38;923261354;Hele landet;Vestfold og Telemark;Horten videregående skole;Alle utdanningsprogram;Vg2;2022;86,5;57,3;13,8;12,7;0;2,7
3;I;38;994309153;Hele landet;Vestfold og Telemark;Kompetansebyggeren;Alle utdanningsprogram;Vg2;2022;73,3;0;0;0;73,3;0
3;I;38;974575051;Hele landet;Vestfold og Telemark;Melsom videregående skole;Alle utdanningsprogram;Vg2;2022;78,8;27,3;19,7;16,7;0;15,2
3;I;38;974575000;Hele landet;Vestfold og Telemark;Nøtterøy videregående skole;Alle utdanningsprogram;Vg2;2022;89,8;64,8;11,7;8,2;0,5;4,6
3;I;38;874575232;Hele landet;Vestfold og Telemark;Re videregående skole;Alle utdanningsprogram;Vg2;2022;88;50,2;11,3;26,2;0;0,3
