ProgramomraadeNivaa;UtdanningstypeKode;Utdanningsprogramkode;Programomraadekode;UtdanningstypeNavn;UtdanningsprogramNavn;ProgramomraadeNavn;Trinn;År;Progresjon totalt;Overgang til studieforberedende utdanningsprogram;Overgang til opplæring i bedrift;Overgang til yrkesfaglig utdanningsprogram
2;YRK;FD;FD;Yrkesfaglig;Frisør, blomster, interiør og eksponeringsdesign;Frisør, blomster, interiør og eksponeringsdesign;Vg1;2022;77,2;0;3,9;73,2
2;YRK;HS;HS;Yrkesfaglig;Helse- og oppvekstfag;Helse- og oppvekstfag;Vg1;2022;82;0,5;0,4;81,1
2;YRK;DT;DT;Yrkesfaglig;Håndverk, design og produktutvikling;Håndverk, design og produktutvikling;Vg1;2022;100;0;0;100
2;YRK;IM;IM;Yrkesfaglig;Informasjonsteknologi og medieproduksjon;Informasjonsteknologi og medieproduksjon;Vg1;2022;89,4;0,9;0,9;87,6
2;YRK;NA;NA;Yrkesfaglig;Naturbruk;Naturbruk;Vg1;2022;86,1;0,7;6,6;78,8
2;YRK;RM;RM;Yrkesfaglig;Restaurant- og matfag;Restaurant- og matfag;Vg1;2022;81,5;0,5;5,8;75,1
2;YRK;SR;SR;Yrkesfaglig;Salg, service og reiseliv;Salg, service og reiseliv;Vg1;2022;76,8;0,7;8,8;67,4
2;YRK;TP;TP;Yrkesfaglig;Teknologi- og industrifag;Teknologi- og industrifag;Vg1;2022;83,4;0,2;2,4;80,8
0;Alle;;Alle;Alle utdanningsprogram;Alle utdanningsprogram;Alle programområder;Vg1;2023;87;42,9;2,4;41,7
1;SFB;;SFB;Studieforberedende;Alle utdanningsprogram;Studieforberedende;Vg1;2023;91,5;91;0,2;0,3
2;SFB;ID;ID;Studieforberedende;Idrettsfag;Idrettsfag;Vg1;2023;93,6;93,1;0;0,5
2;SFB;KD;KD;Studieforberedende;Kunst, design og arkitektur;Kunst, design og arkitektur;Vg1;2023;87,6;86,8;0;0,8
2;SFB;ME;ME;Studieforberedende;Medier og kommunikasjon;Medier og kommunikasjon;Vg1;2023;84,6;80,5;3,3;0,8
2;SFB;MD;MD;Studieforberedende;Musikk, dans og drama;Musikk, dans og drama;Vg1;2023;95,2;94,6;0,6;0
2;SFB;ST;ST;Studieforberedende;Studiespesialisering;Studiespesialisering;Vg1;2023;91,4;91,2;0;0,2
1;YRK;;YRK;Yrkesfaglig;Alle utdanningsprogram;Yrkesfaglig;Vg1;2023;83,1;0,6;4,3;78,2
2;YRK;BA;BA;Yrkesfaglig;Bygg- og anleggsteknikk;Bygg- og anleggsteknikk;Vg1;2023;81,8;0,5;10,2;71,1
2;YRK;EL;EL;Yrkesfaglig;Elektro og datateknologi;Elektro og datateknologi;Vg1;2023;92,4;0,6;0,8;91
2;YRK;FD;FD;Yrkesfaglig;Frisør, blomster, interiør og eksponeringsdesign;Frisør, blomster, interiør og eksponeringsdesign;Vg1;2023;76,9;1,5;0,8;74,6
2;YRK;HS;HS;Yrkesfaglig;Helse- og oppvekstfag;Helse- og oppvekstfag;Vg1;2023;79,1;0,6;1,2;77,3
2;YRK;DT;DT;Yrkesfaglig;Håndverk, design og produktutvikling;Håndverk, design og produktutvikling;Vg1;2023;100;0;0;100
2;YRK;IM;IM;Yrkesfaglig;Informasjonsteknologi og medieproduksjon;Informasjonsteknologi og medieproduksjon;Vg1;2023;89,4;0;2,1;87,2
2;YRK;NA;NA;Yrkesfaglig;Naturbruk;Naturbruk;Vg1;2023;87,8;0;6,1;81,7
2;YRK;RM;RM;Yrkesfaglig;Restaurant- og matfag;Restaurant- og matfag;Vg1;2023;82,6;0;5,1;77,4
2;YRK;SR;SR;Yrkesfaglig;Salg, service og reiseliv;Salg, service og reiseliv;Vg1;2023;80,7;1,6;9,6;69,6
2;YRK;TP;TP;Yrkesfaglig;Teknologi- og industrifag;Teknologi- og industrifag;Vg1;2023;83,8;0,3;3,8;79,7
