CAR_ID;Adresse;RENTAL_ID;DRIVER_ID;STARTS_AT;IS_BUSINESS_TRIP;CURRENT_AGE;CITY;;
978878;Jernbanegaten 2, Tønsberg, Norge;8263915;5834372;14.04.2024;dismissed;30;Rojales;;
978878;Jernbanegaten 2, Tønsberg, Norge;7281837;4789732;08.02.2023;no;28;Tønsberg;;
1087872;Rambergveien 19, Tønsberg, Norge;7404400;3991210;19.04.2023;yes;47;Stavanger;;
1087872;Rambergveien 19, Tønsberg, Norge;7197368;4047895;21.12.2022;no;35;Tønsberg;;
1087872;Rambergveien 19, Tønsberg, Norge;7561407;4049071;14.06.2023;dismissed;59;Tønsberg;;
1087872;Rambergveien 19, Tønsberg, Norge;7918415;4060723;21.12.2023;no;47;;;
1087872;Rambergveien 19, Tønsberg, Norge;7273447;4060723;21.02.2023;no;47;;;
1087872;Rambergveien 19, Tønsberg, Norge;7220950;4063436;06.01.2023;no;48;Tønsberg;;
1087872;Rambergveien 19, Tønsberg, Norge;7291368;4210223;14.02.2023;dismissed;48;Nøtterøy;;
1087872;Rambergveien 19, Tønsberg, Norge;7199505;4211818;24.12.2022;no;35;Tønsberg;;
1087872;Rambergveien 19, Tønsberg, Norge;7650628;4234941;14.07.2023;no;33;Tønsberg;;
1087872;Rambergveien 19, Tønsberg, Norge;7308000;4234941;03.03.2023;no;33;Tønsberg;;
1087872;Rambergveien 19, Tønsberg, Norge;8406143;5948347;08.06.2024;no;67;Tønsberg;;
1087872;Rambergveien 19, Tønsberg, Norge;8400726;5949417;29.05.2024;yes;31;Holmestrand;;
1087872;Rambergveien 19, Tønsberg, Norge;8349486;4011817;11.05.2024;no;38;Tønsberg;;
1087872;Rambergveien 19, Tønsberg, Norge;7391848;4015427;07.04.2023;yes;33;Skallestad;;
1087872;Rambergveien 19, Tønsberg, Norge;7800152;4021427;18.09.2023;yes;44;Tønsberg;;
1087872;Rambergveien 19, Tønsberg, Norge;7379779;4026360;28.03.2023;yes;29;Holmestrand;;
1087872;Rambergveien 19, Tønsberg, Norge;7709391;4245384;18.08.2023;dismissed;49;tønsberg;;
1087872;Rambergveien 19, Tønsberg, Norge;7361763;4274306;24.03.2023;no;28;Tønsberg;;
1087872;Rambergveien 19, Tønsberg, Norge;7470311;5145470;10.05.2023;no;42;Tolvsrød;;
1087872;Rambergveien 19, Tønsberg, Norge;7692103;5151554;03.08.2023;no;42;Tønsberg;;
1087872;Rambergveien 19, Tønsberg, Norge;7459163;5151554;06.05.2023;no;42;Tønsberg;;
1087872;Rambergveien 19, Tønsberg, Norge;7081636;4116108;17.10.2022;dismissed;33;Holmestrand;;
1087872;Rambergveien 19, Tønsberg, Norge;7207426;4150850;31.12.2022;no;31;Oslo;;
1087872;Rambergveien 19, Tønsberg, Norge;7855770;5478764;13.10.2023;yes;31;Tønsberg;;
1087872;Rambergveien 19, Tønsberg, Norge;7838583;5456171;06.10.2023;yes;29;;;
1087872;Rambergveien 19, Tønsberg, Norge;8012878;5456171;01.01.2024;no;29;;;
1087872;Rambergveien 19, Tønsberg, Norge;7864658;5456171;21.10.2023;yes;29;;;
1087872;Rambergveien 19, Tønsberg, Norge;7882838;5456171;28.10.2023;no;29;;;
1087872;Rambergveien 19, Tønsberg, Norge;8025796;5456171;08.01.2024;yes;29;;;
1087872;Rambergveien 19, Tønsberg, Norge;7908598;5456171;09.11.2023;yes;29;;;
1087872;Rambergveien 19, Tønsberg, Norge;8022289;5456171;06.01.2024;no;29;;;
1087872;Rambergveien 19, Tønsberg, Norge;7764590;5412060;04.09.2023;no;22;Tønsberg;;
1087872;Rambergveien 19, Tønsberg, Norge;7791252;5431735;15.09.2023;no;33;TØNSBERG;;
1087872;Rambergveien 19, Tønsberg, Norge;7493884;5040176;16.05.2023;no;30;Tønsberg;;
1087872;Rambergveien 19, Tønsberg, Norge;7348689;5067119;16.03.2023;no;24;Tolvsrød;;
1087872;Rambergveien 19, Tønsberg, Norge;7391371;5037292;02.04.2023;no;31;;;
1087872;Rambergveien 19, Tønsberg, Norge;7349668;5067758;15.03.2023;no;47;Tønsberg;;
1087872;Rambergveien 19, Tønsberg, Norge;7410861;5067758;13.04.2023;no;47;Tønsberg;;
