SpoersmaalNivaa;Avgiver_Fylkekode;Spoersmaalgruppekode;Spoersmaalkode;SvaralternativKode;Avgiver_Fylkenavn;Spoersmaalgruppe;Spoersmaalnavn;SvaralternativNavn;2023-24.Alle utdanningsprogram.Alle aldersgrupper.Alle kjønn.Prosent;2023-24.Alle utdanningsprogram.Alle aldersgrupper.Gutt.Prosent;2023-24.Alle utdanningsprogram.Alle aldersgrupper.Jente.Prosent;2024-25.Alle utdanningsprogram.Alle aldersgrupper.Alle kjønn.Prosent;2024-25.Alle utdanningsprogram.Alle aldersgrupper.Gutt.Prosent;2024-25.Alle utdanningsprogram.Alle aldersgrupper.Jente.Prosent;2025-26.Alle utdanningsprogram.Alle aldersgrupper.Alle kjønn.Prosent;2025-26.Alle utdanningsprogram.Alle aldersgrupper.Gutt.Prosent;2025-26.Alle utdanningsprogram.Alle aldersgrupper.Jente.Prosent
2;39;LLUIndeks_5;LLUSpoersmaal_Q10705;3;Vestfold;Trygt miljø;Er du blitt mobbet på arbeidsplassen de siste månedene?;2-3 ganger i måneden;*;2,4;*;*;*;*;*;*;*
2;39;LLUIndeks_5;LLUSpoersmaal_Q10705;4;Vestfold;Trygt miljø;Er du blitt mobbet på arbeidsplassen de siste månedene?;En sjelden gang;12,8;12;14,5;*;14,4;*;*;13,5;*
2;39;LLUIndeks_5;LLUSpoersmaal_Q10705;5;Vestfold;Trygt miljø;Er du blitt mobbet på arbeidsplassen de siste månedene?;Ikke i det hele tatt;82,5;82,7;82,1;85,1;83;90,4;86,1;84,4;88,8
1;39;LLUIndeks_9;LLUIndeks_9;Alle;Vestfold;Medvirkning, veiledning og egenvurdering;Alle;Alle svar;;;;;;;;;
2;39;LLUIndeks_9;LLUSpoersmaal_Q10719;Alle;Vestfold;Medvirkning, veiledning og egenvurdering;deltar du i planlegging av arbeidet ditt?;Alle svar;100;100;100;100;100;100;100;100;100
2;39;LLUIndeks_9;LLUSpoersmaal_Q10719;1;Vestfold;Medvirkning, veiledning og egenvurdering;deltar du i planlegging av arbeidet ditt?;I svært liten grad;6,1;6,8;4,8;4;*;*;*;*;*
2;39;LLUIndeks_9;LLUSpoersmaal_Q10719;2;Vestfold;Medvirkning, veiledning og egenvurdering;deltar du i planlegging av arbeidet ditt?;I nokså liten grad;10;9,4;11,1;7,5;*;*;*;*;*
2;39;LLUIndeks_9;LLUSpoersmaal_Q10719;3;Vestfold;Medvirkning, veiledning og egenvurdering;deltar du i planlegging av arbeidet ditt?;Verken eller;19,3;19,1;19,7;20,1;22,1;15,2;18,3;21,8;12,5
2;39;LLUIndeks_9;LLUSpoersmaal_Q10719;4;Vestfold;Medvirkning, veiledning og egenvurdering;deltar du i planlegging av arbeidet ditt?;I nokså stor grad;44,1;44,9;42,3;49,5;46,9;56;43,4;44,6;41,5
2;39;LLUIndeks_9;LLUSpoersmaal_Q10719;5;Vestfold;Medvirkning, veiledning og egenvurdering;deltar du i planlegging av arbeidet ditt?;I svært stor grad;20,6;19,8;22,1;18,9;19,1;18,4;28,6;24,6;35,2
