Gruppe / kommune,Kommune-nummer,Innb. totalt pr. 1. januar,Besøk totalt,Besøk pr. innb.,Arr. totalt,Arr. frammøtte,Arr. frammøtte pr. 100 innb.,Egne arr. totalt,Egne arr. frammøtte,Egne arr. frammøtte pr. 100 innb.,Eksternes arr. totalt,Eksternes arr. frammøtte,Eksternes arr frammøtte pr. 100 innb.
"Åsnes,3 418,7 339,26 328,""3,6"",86,2 793,38,73,2 728,37,13,65,1"
"Våler (Innlandet),3 419,3 615,34 874,""9,6"",513,8 097,224,479,7 609,210,34,488,13"
Elverum,3 420,21 761,64 609,3,165,5 019,23,165,5 019,23,,,
Trysil,3 421,6 566,20 000,3,85,3 000,46,77,2 700,41,8,300,5
"Åmot,3 422,4 289,30 907,""7,2"",23,1 206,28,23,1 206,28,,,"
"Stor-Elvdal,3 423,2 276,21 122,""9,3"",7,129,6,7,129,6,,,"
"Rendalen,3 424,1 837,4 870,""2,7"",40,745,41,37,685,37,3,60,3"
"Engerdal,3 425,1 361,1 811,""1,3"",16,108,8,11,86,6,5,22,2"
Tolga,3 426,1 604,4 740,3,162,3 047,190,161,2 897,181,1,150,9
"Tynset,3 427,5 692,48 774,""8,6"",89,2 988,52,60,2 813,49,29,175,3"
"Alvdal,3 428,2 526,17 072,""6,8"",83,914,36,73,821,33,10,93,4"
"Folldal,3 429,1 532,6 681,""4,4"",62,1 629,106,60,1 572,103,2,57,4"
"Os,3 430,1 891,8 353,""4,4"",271,4 443,235,269,4 288,227,2,155,8"
Dovre,3 431,2 503,12 460,5,44,1 795,72,41,1 551,62,3,244,10
"Lesja,3 432,1 983,7 044,""3,6"",16,364,18,15,304,15,1,60,3"
"Skjåk,3 433,2 141,15 400,""7,2"",43,1 272,59,41,1 172,55,2,100,5"
"Lom,3 434,2 212,14 676,""6,6"",45,1 423,64,45,1 423,64,,,"
"Vågå,3 435,3 531,5 902,""1,7"",54,1 083,31,54,1 083,31,,,"
"Nord-Fron,3 436,5 586,16 060,""2,9"",49,1 669,30,48,1 589,28,1,80,1"
"Sel,3 437,5 756,29 478,""5,1"",195,2 400,42,181,2 295,40,14,105,2"
"Sør-Fron,3 438,3 119,2 750,""0,9"",55,1 071,34,55,1 071,34,,,"
"Ringebu,3 439,4 413,12 940,""2,9"",122,3 636,82,122,3 636,82,,,"
"Øyer,3 440,5 124,16 146,""3,2"",212,1 711,33,43,477,9,169,1 234,24"
Gausdal,3 441,6 177,,,19,1 050,17,19,1 050,17,,,
"Østre Toten,3 442,14 840,62 008,""4,2"",233,9 036,61,219,8 294,56,14,742,5"
"Vestre Toten,3 443,13 691,34 812,""2,5"",162,8 739,64,137,8 390,61,25,349,3"
Gran,3 446,13 593,68 451,5,220,4 507,33,219,4 497,33,1,10,0
"Søndre Land,3 447,5 587,13 502,""2,4"",77,1 572,28,73,1 476,26,4,96,2"
"Nordre Land,3 448,6 510,9 926,""1,5"",7,183,3,7,183,3,,,"
"Sør-Aurdal,3 449,2 836,6 516,""2,3"",70,422,15,42,345,12,28,77,3"
Etnedal,3 450,1 366,,,3,85,6,3,85,6,,,
"Nord-Aurdal,3 451,6 562,18 563,""2,8"",84,1 751,27,84,1 751,27,,,"
"Vestre Slidre,3 452,2 112,5 358,""2,5"",19,432,20,14,341,16,5,91,4"
"Øystre Slidre,3 453,3 298,19 277,""5,8"",21,1 021,31,21,1 021,31,,,"
"Vang,3 454,1 645,11 768,""7,2"",170,3 494,212,152,2 993,182,18,501,30"
"Drammen,3 301,104 487,566 178,""5,4"",1 713,39 925,38,1 552,36 240,35,161,3 685,4"
"Kongsberg,3 303,28 848,599 425,""20,8"",735,16 334,57,491,13 814,48,244,2 520,9"
"Ringerike,3 305,31 581,106 469,""3,4"",322,8 391,27,322,8 391,27,,,"
"Hole,3 310,6 989,15 300,""2,2"",91,1 944,28,90,1 910,27,1,34,0"
"Lier,3 312,28 470,98 609,""3,5"",173,4 339,15,171,4 305,15,2,34,0"
"Øvre Eiker,3 314,20 779,93 004,""4,5"",572,14 587,70,572,14 587,70,,,"
"Modum,3 316,14 665,23 468,""1,6"",79,2 070,14,73,1 882,13,6,188,1"
"Krødsherad,3 318,2 241,3 978,""1,8"",37,757,34,37,757,34,,,"
"Flå,3 320,1 115,4 280,""3,8"",56,415,37,40,335,30,16,80,7"
"Nesbyen,3 322,3 301,26 011,""7,9"",87,1 480,45,87,1 480,45,,,"
"Gol,3 324,4 986,24 600,""4,9"",114,2 583,52,113,2 528,51,1,55,1"
"Hemsedal,3 326,2 666,15 763,""5,9"",83,1 617,61,49,904,34,34,713,27"
"Ål,3 328,5 007,50 974,""10,2"",44,1 480,30,43,1 465,29,1,15,0"
Hol,3 330,4 496,44 780,10,319,10 842,241,274,4 674,104,45,6 168,137
"Sigdal,3 332,3 526,8 932,""2,5"",7,279,8,7,279,8,,,"
"Flesberg,3 334,2 781,1 000,""0,4"",8,215,8,8,215,8,,,"
