Kommunenummer;Kommune;Botid i Norge;År;Verdensregion;Enhet;Antall
5057;Ørland (f.o.m. 2020);0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;100
5058;Åfjord (f.o.m. 2020);0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;54
5059;Orkland;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;176
5060;Nærøysund;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;148
5061;Rindal;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;0
5401;;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;2037
5402;;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;312
5403;;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;292
5404;;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;70
5405;;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;35
5406;;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;183
5411;;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;26
5412;;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;56
5413;;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;20
5414;;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;24
5415;;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;3
5416;;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;32
5417;;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;21
5418;;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;56
5419;;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;36
5420;;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;3
5421;;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;237
5422;;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;82
5423;;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;70
5424;;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;34
5425;;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;24
5426;;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;10
5427;;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;90
5428;;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;37
5429;;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;14
5430;;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;33
5432;;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;16
5433;;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;41
5434;;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;67
5435;;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;86
5436;;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;19
5437;;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;20
5438;;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;39
5439;;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;78
5440;;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;36
5441;;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;34
5442;;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;8
5443;;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;109
5444;;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;129
0301;Oslo;0-4 år;2022;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;19087
1101;Eigersund;0-4 år;2022;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;162
1103;Stavanger;0-4 år;2022;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;3933
1106;Haugesund;0-4 år;2022;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;542
1108;Sandnes (f.o.m. 2020);0-4 år;2022;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;1392
1111;Sokndal;0-4 år;2022;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;19
1112;Lund;0-4 år;2022;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;45
1114;Bjerkreim;0-4 år;2022;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;6
1119;Hå;0-4 år;2022;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;238
1120;Klepp;0-4 år;2022;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;226
1121;Time;0-4 år;2022;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;187
1122;Gjesdal;0-4 år;2022;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;167
1124;Sola;0-4 år;2022;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;567
1127;Randaberg;0-4 år;2022;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;171
1130;Strand;0-4 år;2022;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;159
1133;Hjelmeland;0-4 år;2022;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;52
1134;Suldal;0-4 år;2022;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;49
1135;Sauda;0-4 år;2022;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;40
1144;Kvitsøy;0-4 år;2022;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;3
1145;Bokn;0-4 år;2022;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;0
1146;Tysvær;0-4 år;2022;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;123
1149;Karmøy;0-4 år;2022;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;318
1151;Utsira;0-4 år;2022;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;3
1160;Vindafjord;0-4 år;2022;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;94
1505;Kristiansund;0-4 år;2022;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;350
1506;Molde (f.o.m. 2020);0-4 år;2022;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;533
1507;Ålesund (f.o.m. 2020, t.o.m. 2023);0-4 år;2022;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;941
1511;Vanylven;0-4 år;2022;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;12
1514;Sande (Møre og Romsdal);0-4 år;2022;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;25
1515;Herøy (Møre og Romsdal);0-4 år;2022;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;90
1516;Ulstein;0-4 år;2022;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;92
1517;Hareid;0-4 år;2022;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;71
1520;Ørsta;0-4 år;2022;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;124
