Kommunenummer;Kommune;Botid i Norge;År;Verdensregion;Enhet;Antall
5014;Frøya;5-9 år;2020;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;58
5020;Osen;5-9 år;2020;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;0
5021;Oppdal;5-9 år;2020;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;62
5022;Rennebu;5-9 år;2020;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;25
5025;Røros;5-9 år;2020;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;40
5026;Holtålen;5-9 år;2020;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;4
5027;Midtre Gauldal;5-9 år;2020;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;42
5028;Melhus;5-9 år;2020;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;128
5029;Skaun;5-9 år;2020;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;54
5031;Malvik;5-9 år;2020;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;113
5032;Selbu;5-9 år;2020;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;21
5033;Tydal;5-9 år;2020;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;3
5034;Meråker;5-9 år;2020;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;58
5035;Stjørdal;5-9 år;2020;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;356
5036;Frosta;5-9 år;2020;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;12
5037;Levanger;5-9 år;2020;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;211
5038;Verdal;5-9 år;2020;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;131
5041;Snåsa;5-9 år;2020;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;16
5042;Lierne;5-9 år;2020;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;12
5043;Røyrvik;5-9 år;2020;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;0
5044;Namsskogan;5-9 år;2020;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;8
5045;Grong;5-9 år;2020;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;31
5046;Høylandet;5-9 år;2020;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;4
5047;Overhalla;5-9 år;2020;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;32
5049;Flatanger;5-9 år;2020;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;6
5052;Leka;5-9 år;2020;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;5
5053;Inderøy;5-9 år;2020;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;76
5054;Indre Fosen;5-9 år;2020;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;102
5055;Heim;5-9 år;2020;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;58
5056;Hitra (f.o.m. 2020);5-9 år;2020;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;81
5057;Ørland (f.o.m. 2020);5-9 år;2020;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;68
5058;Åfjord (f.o.m. 2020);5-9 år;2020;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;26
5059;Orkland;5-9 år;2020;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;192
5060;Nærøysund;5-9 år;2020;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;141
5061;Rindal;5-9 år;2020;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;8
5401;;5-9 år;2020;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;1317
5402;;5-9 år;2020;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;406
5403;;5-9 år;2020;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;240
5404;;5-9 år;2020;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;19
5405;;5-9 år;2020;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;157
5406;;5-9 år;2020;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;279
5411;;5-9 år;2020;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;29
5412;;5-9 år;2020;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;26
5413;;5-9 år;2020;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;13
5414;;5-9 år;2020;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;18
5415;;5-9 år;2020;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;3
5416;;5-9 år;2020;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;37
5417;;5-9 år;2020;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;36
5418;;5-9 år;2020;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;72
5419;;5-9 år;2020;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;37
5420;;5-9 år;2020;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;8
5421;;5-9 år;2020;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;261
5422;;5-9 år;2020;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;35
5423;;5-9 år;2020;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;17
5424;;5-9 år;2020;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;3
5425;;5-9 år;2020;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;13
5426;;5-9 år;2020;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;4
5427;;5-9 år;2020;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;32
5428;;5-9 år;2020;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;33
5429;;5-9 år;2020;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;7
5430;;5-9 år;2020;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;13
5432;;5-9 år;2020;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;9
5433;;5-9 år;2020;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;11
5434;;5-9 år;2020;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;9
5435;;5-9 år;2020;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;72
5436;;5-9 år;2020;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;55
5437;;5-9 år;2020;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;13
5438;;5-9 år;2020;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;17
5439;;5-9 år;2020;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;23
5440;;5-9 år;2020;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;3
5441;;5-9 år;2020;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;33
5442;;5-9 år;2020;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;8
5443;;5-9 år;2020;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;21
5444;;5-9 år;2020;Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand;Personer;191
0301;Oslo;5-9 år;2020;Alle;Personer;36635
1101;Eigersund;5-9 år;2020;Alle;Personer;505
1103;Stavanger;5-9 år;2020;Alle;Personer;7000
1106;Haugesund;5-9 år;2020;Alle;Personer;1729
1108;Sandnes (f.o.m. 2020);5-9 år;2020;Alle;Personer;4215
1111;Sokndal;5-9 år;2020;Alle;Personer;81
1112;Lund;5-9 år;2020;Alle;Personer;68
1114;Bjerkreim;5-9 år;2020;Alle;Personer;68
1119;Hå;5-9 år;2020;Alle;Personer;793
1120;Klepp;5-9 år;2020;Alle;Personer;847
1121;Time;5-9 år;2020;Alle;Personer;544
1122;Gjesdal;5-9 år;2020;Alle;Personer;441
1124;Sola;5-9 år;2020;Alle;Personer;1403
1127;Randaberg;5-9 år;2020;Alle;Personer;380
1130;Strand;5-9 år;2020;Alle;Personer;383
1133;Hjelmeland;5-9 år;2020;Alle;Personer;119
1134;Suldal;5-9 år;2020;Alle;Personer;108
1135;Sauda;5-9 år;2020;Alle;Personer;119
1144;Kvitsøy;5-9 år;2020;Alle;Personer;28
1145;Bokn;5-9 år;2020;Alle;Personer;35
1146;Tysvær;5-9 år;2020;Alle;Personer;286
1149;Karmøy;5-9 år;2020;Alle;Personer;1112
1151;Utsira;5-9 år;2020;Alle;Personer;10
1160;Vindafjord;5-9 år;2020;Alle;Personer;472
1505;Kristiansund;5-9 år;2020;Alle;Personer;866
1506;Molde (f.o.m. 2020);5-9 år;2020;Alle;Personer;1109
1507;Ålesund (f.o.m. 2020, t.o.m. 2023);5-9 år;2020;Alle;Personer;2913
1511;Vanylven;5-9 år;2020;Alle;Personer;73
1514;Sande (Møre og Romsdal);5-9 år;2020;Alle;Personer;204
1515;Herøy (Møre og Romsdal);5-9 år;2020;Alle;Personer;488
1516;Ulstein;5-9 år;2020;Alle;Personer;421
1517;Hareid;5-9 år;2020;Alle;Personer;253
1520;Ørsta;5-9 år;2020;Alle;Personer;274
1525;Stranda;5-9 år;2020;Alle;Personer;308
1528;Sykkylven;5-9 år;2020;Alle;Personer;272
1531;Sula;5-9 år;2020;Alle;Personer;426
1532;Giske;5-9 år;2020;Alle;Personer;346
1535;Vestnes;5-9 år;2020;Alle;Personer;247
1539;Rauma;5-9 år;2020;Alle;Personer;202
1547;Aukra;5-9 år;2020;Alle;Personer;126
1554;Averøy;5-9 år;2020;Alle;Personer;193
1557;Gjemnes;5-9 år;2020;Alle;Personer;73
1560;Tingvoll;5-9 år;2020;Alle;Personer;64
1563;Sunndal;5-9 år;2020;Alle;Personer;175
1566;Surnadal;5-9 år;2020;Alle;Personer;92
1573;Smøla;5-9 år;2020;Alle;Personer;83
1576;Aure;5-9 år;2020;Alle;Personer;143
1577;Volda (f.o.m. 2020);5-9 år;2020;Alle;Personer;252
1578;Fjord;5-9 år;2020;Alle;Personer;67
1579;Hustadvika;5-9 år;2020;Alle;Personer;376
1804;Bodø;5-9 år;2020;Alle;Personer;1352
1806;Narvik (f.o.m. 2020);5-9 år;2020;Alle;Personer;687
1811;Bindal;5-9 år;2020;Alle;Personer;13
1812;Sømna;5-9 år;2020;Alle;Personer;38
1813;Brønnøy;5-9 år;2020;Alle;Personer;192
1815;Vega;5-9 år;2020;Alle;Personer;18
1816;Vevelstad;5-9 år;2020;Alle;Personer;8
1818;Herøy (Nordland);5-9 år;2020;Alle;Personer;99
1820;Alstahaug;5-9 år;2020;Alle;Personer;253
1822;Leirfjord;5-9 år;2020;Alle;Personer;81
1824;Vefsn;5-9 år;2020;Alle;Personer;253
1825;Grane;5-9 år;2020;Alle;Personer;40
1826;Hattfjelldal;5-9 år;2020;Alle;Personer;17
1827;Dønna;5-9 år;2020;Alle;Personer;15
1828;Nesna;5-9 år;2020;Alle;Personer;71
1832;Hemnes;5-9 år;2020;Alle;Personer;86
1833;Rana;5-9 år;2020;Alle;Personer;573
1834;Lurøy;5-9 år;2020;Alle;Personer;62
1835;Træna;5-9 år;2020;Alle;Personer;28
1836;Rødøy;5-9 år;2020;Alle;Personer;30
1837;Meløy;5-9 år;2020;Alle;Personer;130
1838;Gildeskål;5-9 år;2020;Alle;Personer;104
1839;Beiarn;5-9 år;2020;Alle;Personer;15
1840;Saltdal;5-9 år;2020;Alle;Personer;90
1841;Fauske;5-9 år;2020;Alle;Personer;204
1845;Sørfold;5-9 år;2020;Alle;Personer;57
1848;Steigen;5-9 år;2020;Alle;Personer;65
1851;Lødingen;5-9 år;2020;Alle;Personer;93
1853;Evenes;5-9 år;2020;Alle;Personer;43
1856;Røst;5-9 år;2020;Alle;Personer;17
1857;Værøy;5-9 år;2020;Alle;Personer;38
1859;Flakstad;5-9 år;2020;Alle;Personer;29
1860;Vestvågøy;5-9 år;2020;Alle;Personer;339
1865;Vågan;5-9 år;2020;Alle;Personer;399
1866;Hadsel;5-9 år;2020;Alle;Personer;231
1867;Bø (Nordland);5-9 år;2020;Alle;Personer;87
1868;Øksnes;5-9 år;2020;Alle;Personer;198
1870;Sortland;5-9 år;2020;Alle;Personer;281
1871;Andøy;5-9 år;2020;Alle;Personer;134
1874;Moskenes;5-9 år;2020;Alle;Personer;50
1875;Hamarøy (f.o.m. 2020);5-9 år;2020;Alle;Personer;92
3001;;5-9 år;2020;Alle;Personer;849
3002;;5-9 år;2020;Alle;Personer;1738
3003;;5-9 år;2020;Alle;Personer;1935
3004;;5-9 år;2020;Alle;Personer;2764
3005;;5-9 år;2020;Alle;Personer;4971
3006;;5-9 år;2020;Alle;Personer;1148
3007;;5-9 år;2020;Alle;Personer;1048
3011;;5-9 år;2020;Alle;Personer;55
3012;;5-9 år;2020;Alle;Personer;6
3013;;5-9 år;2020;Alle;Personer;66
3014;;5-9 år;2020;Alle;Personer;1752
3015;;5-9 år;2020;Alle;Personer;116
3016;;5-9 år;2020;Alle;Personer;284
3017;;5-9 år;2020;Alle;Personer;269
3018;;5-9 år;2020;Alle;Personer;189
3019;;5-9 år;2020;Alle;Personer;611
3020;;5-9 år;2020;Alle;Personer;1990
3021;;5-9 år;2020;Alle;Personer;967
3022;;5-9 år;2020;Alle;Personer;439
3023;;5-9 år;2020;Alle;Personer;580
3024;;5-9 år;2020;Alle;Personer;5391
3025;;5-9 år;2020;Alle;Personer;4182
3026;;5-9 år;2020;Alle;Personer;774
3027;;5-9 år;2020;Alle;Personer;874
3028;;5-9 år;2020;Alle;Personer;470
3029;;5-9 år;2020;Alle;Personer;1907
3030;;5-9 år;2020;Alle;Personer;3965
3031;;5-9 år;2020;Alle;Personer;782
3032;;5-9 år;2020;Alle;Personer;273
3033;;5-9 år;2020;Alle;Personer;2162
3034;;5-9 år;2020;Alle;Personer;883
3035;;5-9 år;2020;Alle;Personer;1058
3036;;5-9 år;2020;Alle;Personer;864
3037;;5-9 år;2020;Alle;Personer;70
3038;;5-9 år;2020;Alle;Personer;243
3039;;5-9 år;2020;Alle;Personer;45
3040;;5-9 år;2020;Alle;Personer;92
3041;;5-9 år;2020;Alle;Personer;190
3042;;5-9 år;2020;Alle;Personer;156
3043;;5-9 år;2020;Alle;Personer;118
3044;;5-9 år;2020;Alle;Personer;194
3045;;5-9 år;2020;Alle;Personer;85
3046;;5-9 år;2020;Alle;Personer;95
3047;;5-9 år;2020;Alle;Personer;376
3048;;5-9 år;2020;Alle;Personer;729
3049;;5-9 år;2020;Alle;Personer;1229
3050;;5-9 år;2020;Alle;Personer;70
3051;;5-9 år;2020;Alle;Personer;28
3052;;5-9 år;2020;Alle;Personer;84
3053;;5-9 år;2020;Alle;Personer;186
3054;;5-9 år;2020;Alle;Personer;304
3401;Kongsvinger;5-9 år;2020;Alle;Personer;441
3403;Hamar;5-9 år;2020;Alle;Personer;945
3405;Lillehammer;5-9 år;2020;Alle;Personer;801
3407;Gjøvik;5-9 år;2020;Alle;Personer;1034
3411;Ringsaker;5-9 år;2020;Alle;Personer;982
3412;Løten;5-9 år;2020;Alle;Personer;200
3413;Stange;5-9 år;2020;Alle;Personer;601
3414;Nord-Odal;5-9 år;2020;Alle;Personer;74
3415;Sør-Odal;5-9 år;2020;Alle;Personer;183
3416;Eidskog;5-9 år;2020;Alle;Personer;103
3417;Grue;5-9 år;2020;Alle;Personer;76
3418;Åsnes;5-9 år;2020;Alle;Personer;135
3419;Våler (Hedm.);5-9 år;2020;Alle;Personer;84
3420;Elverum;5-9 år;2020;Alle;Personer;597
3421;Trysil;5-9 år;2020;Alle;Personer;193
3422;Åmot;5-9 år;2020;Alle;Personer;110
3423;Stor-Elvdal;5-9 år;2020;Alle;Personer;67
3424;Rendalen;5-9 år;2020;Alle;Personer;40
3425;Engerdal;5-9 år;2020;Alle;Personer;20
3426;Tolga;5-9 år;2020;Alle;Personer;56
3427;Tynset;5-9 år;2020;Alle;Personer;215
3428;Alvdal;5-9 år;2020;Alle;Personer;48
3429;Folldal;5-9 år;2020;Alle;Personer;29
3430;Os (Hedm.);5-9 år;2020;Alle;Personer;61
3431;Dovre;5-9 år;2020;Alle;Personer;68
3432;Lesja;5-9 år;2020;Alle;Personer;53
3433;Skjåk;5-9 år;2020;Alle;Personer;50
3434;Lom;5-9 år;2020;Alle;Personer;22
3435;Vågå;5-9 år;2020;Alle;Personer;65
3436;Nord-Fron;5-9 år;2020;Alle;Personer;128
3437;Sel;5-9 år;2020;Alle;Personer;108
3438;Sør-Fron;5-9 år;2020;Alle;Personer;85
3439;Ringebu;5-9 år;2020;Alle;Personer;123
3440;Øyer;5-9 år;2020;Alle;Personer;183
3441;Gausdal;5-9 år;2020;Alle;Personer;103
3442;Østre Toten;5-9 år;2020;Alle;Personer;414
3443;Vestre Toten;5-9 år;2020;Alle;Personer;366
3446;Gran;5-9 år;2020;Alle;Personer;423
3447;Søndre Land;5-9 år;2020;Alle;Personer;128
3448;Nordre Land;5-9 år;2020;Alle;Personer;163
3449;Sør-Aurdal;5-9 år;2020;Alle;Personer;63
3450;Etnedal;5-9 år;2020;Alle;Personer;27
3451;Nord-Aurdal;5-9 år;2020;Alle;Personer;183
3452;Vestre Slidre;5-9 år;2020;Alle;Personer;35
3453;Øystre Slidre;5-9 år;2020;Alle;Personer;91
3454;Vang;5-9 år;2020;Alle;Personer;83
3801;;5-9 år;2020;Alle;Personer;843
3802;;5-9 år;2020;Alle;Personer;870
3803;;5-9 år;2020;Alle;Personer;1652
3804;;5-9 år;2020;Alle;Personer;2401
3805;;5-9 år;2020;Alle;Personer;1299
3806;;5-9 år;2020;Alle;Personer;949
3807;;5-9 år;2020;Alle;Personer;1688
3808;;5-9 år;2020;Alle;Personer;417
3811;;5-9 år;2020;Alle;Personer;723
3812;;5-9 år;2020;Alle;Personer;44
3813;;5-9 år;2020;Alle;Personer;346
3814;;5-9 år;2020;Alle;Personer;290
3815;;5-9 år;2020;Alle;Personer;93
3816;;5-9 år;2020;Alle;Personer;232
3817;;5-9 år;2020;Alle;Personer;339
3818;;5-9 år;2020;Alle;Personer;147
3819;;5-9 år;2020;Alle;Personer;38
3820;;5-9 år;2020;Alle;Personer;71
3821;;5-9 år;2020;Alle;Personer;42
3822;;5-9 år;2020;Alle;Personer;45
3823;;5-9 år;2020;Alle;Personer;28
3824;;5-9 år;2020;Alle;Personer;29
3825;;5-9 år;2020;Alle;Personer;98
4201;Risør;5-9 år;2020;Alle;Personer;157
4202;Grimstad;5-9 år;2020;Alle;Personer;854
4203;Arendal;5-9 år;2020;Alle;Personer;1398
4204;Kristiansand (f.o.m. 2020);5-9 år;2020;Alle;Personer;3472
4205;Lindesnes (f.o.m. 2020);5-9 år;2020;Alle;Personer;608
4206;Farsund;5-9 år;2020;Alle;Personer;215
4207;Flekkefjord;5-9 år;2020;Alle;Personer;230
4211;Gjerstad;5-9 år;2020;Alle;Personer;50
4212;Vegårshei;5-9 år;2020;Alle;Personer;47
4213;Tvedestrand;5-9 år;2020;Alle;Personer;144
4214;Froland;5-9 år;2020;Alle;Personer;132
4215;Lillesand;5-9 år;2020;Alle;Personer;267
4216;Birkenes;5-9 år;2020;Alle;Personer;91
4217;Åmli;5-9 år;2020;Alle;Personer;57
4218;Iveland;5-9 år;2020;Alle;Personer;28
4219;Evje og Hornnes;5-9 år;2020;Alle;Personer;81
4220;Bygland;5-9 år;2020;Alle;Personer;14
4221;Valle;5-9 år;2020;Alle;Personer;21
4222;Bykle;5-9 år;2020;Alle;Personer;38
4223;Vennesla;5-9 år;2020;Alle;Personer;396
4224;Åseral;5-9 år;2020;Alle;Personer;17
4225;Lyngdal (f.o.m. 2020);5-9 år;2020;Alle;Personer;317
4226;Hægebostad;5-9 år;2020;Alle;Personer;22
4227;Kvinesdal;5-9 år;2020;Alle;Personer;163
4228;Sirdal;5-9 år;2020;Alle;Personer;40
4601;Bergen;5-9 år;2020;Alle;Personer;11501
4602;Kinn;5-9 år;2020;Alle;Personer;670
4611;Etne;5-9 år;2020;Alle;Personer;127
4612;Sveio;5-9 år;2020;Alle;Personer;174
4613;Bømlo;5-9 år;2020;Alle;Personer;353
4614;Stord;5-9 år;2020;Alle;Personer;579
4615;Fitjar;5-9 år;2020;Alle;Personer;79
4616;Tysnes;5-9 år;2020;Alle;Personer;86
4617;Kvinnherad;5-9 år;2020;Alle;Personer;322
4618;Ullensvang (f.o.m. 2020);5-9 år;2020;Alle;Personer;343
4619;Eidfjord;5-9 år;2020;Alle;Personer;28
4620;Ulvik;5-9 år;2020;Alle;Personer;56
4621;Voss (f.o.m. 2020);5-9 år;2020;Alle;Personer;392
4622;Kvam;5-9 år;2020;Alle;Personer;290
4623;Samnanger;5-9 år;2020;Alle;Personer;63
4624;Bjørnafjorden;5-9 år;2020;Alle;Personer;886
4625;Austevoll;5-9 år;2020;Alle;Personer;213
4626;Øygarden (f.o.m. 2020);5-9 år;2020;Alle;Personer;1210
4627;Askøy;5-9 år;2020;Alle;Personer;818
4628;Vaksdal;5-9 år;2020;Alle;Personer;103
4629;Modalen;5-9 år;2020;Alle;Personer;7
4630;Osterøy;5-9 år;2020;Alle;Personer;233
4631;Alver;5-9 år;2020;Alle;Personer;855
4632;Austrheim;5-9 år;2020;Alle;Personer;123
4633;Fedje;5-9 år;2020;Alle;Personer;8
4634;Masfjorden;5-9 år;2020;Alle;Personer;33
4635;Gulen;5-9 år;2020;Alle;Personer;91
4636;Solund;5-9 år;2020;Alle;Personer;27
4637;Hyllestad;5-9 år;2020;Alle;Personer;38
4638;Høyanger;5-9 år;2020;Alle;Personer;110
4639;Vik;5-9 år;2020;Alle;Personer;77
4640;Sogndal (f.o.m. 2020);5-9 år;2020;Alle;Personer;413
4641;Aurland;5-9 år;2020;Alle;Personer;75
4642;Lærdal;5-9 år;2020;Alle;Personer;79
4643;Årdal;5-9 år;2020;Alle;Personer;120
4644;Luster;5-9 år;2020;Alle;Personer;101
4645;Askvoll;5-9 år;2020;Alle;Personer;58
4646;Fjaler;5-9 år;2020;Alle;Personer;54
4647;Sunnfjord;5-9 år;2020;Alle;Personer;647
4648;Bremanger;5-9 år;2020;Alle;Personer;195
