Skoleår;Utdanningsprogram;Nivå;Skole;Antall elever;Elevgrunnlag for totalfravær;Totalfravær (%);Antall fraværsdager;Antall fraværstimer
2018/19;KD;vg1;Sandefjord videregående skole;28;27;11,3%;14,0;37,1
2018/19;KD;vg2;Færder videregående skole;21;21;3,8%;5,6;7,4
2018/19;KD;vg2;Sandefjord videregående skole;13;13;8,7%;8,2;41,8
2018/19;KD;vg3;Færder videregående skole;22;22;4,8%;5,2;19,8
2018/19;KD;vg3;Sandefjord videregående skole;24;24;5,8%;5,1;30,5
2018/19;MD;vg1;Greveskogen videregående skole;30;30;4,3%;3,8;22,5
2018/19;MD;vg1;Sandefjord videregående skole;49;48;2,7%;2,4;13,7
2018/19;MD;vg1;Thor Heyerdahl videregående skole;29;26;4,6%;4,5;21,3
2018/19;MD;vg2;Greveskogen videregående skole;27;27;7,7%;9,0;27,7
2018/19;MD;vg2;Sandefjord videregående skole;31;28;7,1%;5,0;43,4
2018/19;MD;vg2;Thor Heyerdahl videregående skole;18;17;5,4%;5,2;25,4
2018/19;MD;vg3;Greveskogen videregående skole;33;33;10,7%;9,5;55,7
2018/19;MD;vg3;Sandefjord videregående skole;53;50;5,3%;5,0;25,4
2018/19;MD;vg3;Thor Heyerdahl videregående skole;29;28;5,0%;4,6;24,6
2018/19;ME;vg1;Holmestrand videregående skole;10;10;8,0%;13,6;7,1
2018/19;ME;vg1;Horten videregående skole;30;30;4,0%;5,4;10,3
2018/19;ME;vg1;Melsom videregående skole;29;28;5,6%;7,0;18,1
2018/19;ME;vg1;Sande videregående skole;17;17;9,7%;10,1;42,2
2018/19;ME;vg1;Thor Heyerdahl videregående skole;30;29;3,7%;4,9;10,4
2018/19;ME;vg2;Holmestrand videregående skole;12;12;9,2%;9,8;39,2
2018/19;ME;vg2;Horten videregående skole;25;25;6,4%;6,8;26,8
2018/19;ME;vg2;Melsom videregående skole;17;17;11,1%;13,5;37,8
2018/19;ME;vg2;Sande videregående skole;12;12;14,6%;20,9;33,3
2018/19;ME;vg2;Thor Heyerdahl videregående skole;27;25;3,6%;3,6;15,9
2018/19;ME;vg3;Holmestrand videregående skole;11;11;11,1%;14,4;33,0
2018/19;ME;vg3;Horten videregående skole;15;15;5,4%;5,5;24,1
2018/19;ME;vg3;Melsom videregående skole;20;19;11,8%;14,9;37,2
2018/19;ME;vg3;Sande videregående skole;17;17;11,3%;12,6;44,0
2018/19;ME;vg3;Thor Heyerdahl videregående skole;25;23;6,9%;6,8;32,1
2018/19;NA;vg1;Melsom videregående skole;40;38;11,0%;11,6;46,6
2018/19;NA;vg2;Melsom videregående skole;31;31;5,0%;6,3;15,8
2018/19;NA;vg3;Melsom videregående skole;14;13;4,3%;5,5;13,4
2018/19;PB;vg3;Eksamenskontoret i Vestfold;1;0;-;-;-
2018/19;PB;vg3;Færder videregående skole;164;159;6,0%;6,7;13,8
2018/19;PB;vg3;Greveskogen videregående skole;15;15;2,7%;1,7;8,6
2018/19;PB;vg3;Holmestrand videregående skole;24;20;15,1%;19,6;46,0
2018/19;PB;vg3;Horten videregående skole;28;25;7,5%;9,6;22,8
2018/19;PB;vg3;Nøtterøy videregående skole;15;14;4,4%;5,5;14,0
2018/19;PB;vg3;Re videregående skole;21;21;4,9%;6,0;15,9
2018/19;PB;vg3;Sande videregående skole;20;19;10,0%;9,9;42,9
2018/19;PB;vg3;Sandefjord videregående skole;74;72;6,7%;7,8;21,0
2018/19;PB;vg3;Thor Heyerdahl videregående skole;64;55;6,9%;9,1;18,6
2018/19;RM;vg1;Greveskogen videregående skole;23;21;5,1%;6,5;16,2
2018/19;RM;vg1;Holmestrand videregående skole;9;9;7,6%;11,3;14,8
2018/19;RM;vg1;Sandefjord videregående skole;27;25;6,2%;9,1;13,2
2018/19;RM;vg1;Thor Heyerdahl videregående skole;17;15;3,9%;5,4;9,9
2018/19;RM;vg2;Greveskogen videregående skole;27;24;8,1%;12,0;16,7
2018/19;RM;vg2;Holmestrand videregående skole;5;4;3,2%;4,8;6,8
2018/19;RM;vg2;Sandefjord videregående skole;11;11;4,9%;6,9;11,5
2018/19;RM;vg2;Thor Heyerdahl videregående skole;16;15;7,7%;11,7;13,9
2018/19;SS;vg1;Greveskogen videregående skole;44;39;10,3%;13,3;31,3
2018/19;SS;vg1;Horten videregående skole;27;24;13,2%;16,3;44,2
2018/19;SS;vg1;Sandefjord videregående skole;74;65;9,2%;10,8;33,3
2018/19;SS;vg1;Thor Heyerdahl videregående skole;48;45;5,8%;6,4;23,0
2018/19;SS;vg2;Greveskogen videregående skole;29;29;12,0%;11,6;56,4
2018/19;SS;vg2;Horten videregående skole;32;32;5,1%;5,6;21,0
2018/19;SS;vg2;Sandefjord videregående skole;89;83;7,2%;9,7;20,1
2018/19;SS;vg2;Thor Heyerdahl videregående skole;44;43;5,4%;7,1;15,1
2018/19;ST;vg1;Greveskogen videregående skole;177;173;4,9%;4,8;19,5
2018/19;ST;vg1;Holmestrand videregående skole;42;38;2,0%;2,6;5,4
2018/19;ST;vg1;Horten videregående skole;134;131;3,5%;4,5;9,6
2018/19;ST;vg1;Melsom videregående skole;24;23;5,4%;5,6;20,6
2018/19;ST;vg1;Nøtterøy videregående skole;91;87;2,3%;2,4;8,7
2018/19;ST;vg1;Re videregående skole;123;118;4,0%;4,6;12,9
2018/19;ST;vg1;Sande videregående skole;54;54;6,2%;7,1;20,2
2018/19;ST;vg1;Sandefjord videregående skole;301;297;4,5%;5,4;14,0
2018/19;ST;vg1;Thor Heyerdahl videregående skole;155;152;2,8%;2,6;11,9
2018/19;ST;vg2;Greveskogen videregående skole;197;196;7,1%;7,1;27,9
2018/19;ST;vg2;Holmestrand videregående skole;31;31;3,3%;3,2;13,4
2018/19;ST;vg2;Horten videregående skole;150;150;3,7%;4,0;13,4
2018/19;ST;vg2;Melsom videregående skole;15;15;12,4%;8,6;65,3
2018/19;ST;vg2;Nøtterøy videregående skole;121;118;5,9%;5,2;26,6
2018/19;ST;vg2;Re videregående skole;101;99;6,7%;5,8;30,5
2018/19;ST;vg2;Sande videregående skole;47;46;5,6%;5,2;23,8
2018/19;ST;vg2;Sandefjord videregående skole;296;293;6,2%;6,0;25,6
2018/19;ST;vg2;Thor Heyerdahl videregående skole;169;168;3,4%;2,5;17,2
2018/19;ST;vg3;Greveskogen videregående skole;249;244;6,5%;5,7;28,7
2018/19;ST;vg3;Holmestrand videregående skole;38;36;10,0%;13,1;25,6
2018/19;ST;vg3;Horten videregående skole;135;134;6,3%;7,1;21,5
2018/19;ST;vg3;Melsom videregående skole;9;9;10,2%;8,4;47,9
2018/19;ST;vg3;Nøtterøy videregående skole;126;126;7,0%;6,7;28,9
2018/19;ST;vg3;Re videregående skole;98;98;5,8%;6,1;21,2
2018/19;ST;vg3;Sande videregående skole;59;59;7,1%;7,8;24,3
2018/19;ST;vg3;Sandefjord videregående skole;309;305;6,4%;6,7;23,5
2018/19;ST;vg3;Thor Heyerdahl videregående skole;184;176;4,3%;3,4;20,9
2018/19;TP;vg1;Færder videregående skole;51;49;2,8%;3,7;8,3
2018/19;TP;vg1;Holmestrand videregående skole;13;12;14,7%;16,7;56,8
2018/19;TP;vg1;Horten videregående skole;13;11;13,6%;19,7;30,1
2018/19;TP;vg1;Sande videregående skole;16;15;6,5%;8,7;18,2
2018/19;TP;vg1;Sandefjord videregående skole;55;49;6,4%;6,0;31,1
2018/19;TP;vg1;Thor Heyerdahl videregående skole;62;60;3,3%;4,5;8,5
2018/19;TP;vg2;Færder videregående skole;93;82;3,0%;3,2;12,6
2018/19;TP;vg2;Horten videregående skole;9;8;4,2%;4,9;15,5
2018/19;TP;vg2;Sande videregående skole;7;7;2,9%;3,0;13,1
2018/19;TP;vg2;Sandefjord videregående skole;27;23;3,2%;1,6;22,5
2018/19;TP;vg2;Thor Heyerdahl videregående skole;35;34;3,9%;2,4;26,0
2017/18;BA;vg1;Færder videregående skole;61;51;4,1%;4,3;17,7
2017/18;BA;vg1;Re videregående skole;62;58;3,0%;4,2;7,2
2017/18;BA;vg1;Thor Heyerdahl videregående skole;56;50;3,4%;3,2;16,6
2017/18;BA;vg2;Færder videregående skole;32;30;7,6%;11,4;14,4
2017/18;BA;vg2;Re videregående skole;52;44;2,7%;2,7;12,1
2017/18;BA;vg2;Thor Heyerdahl videregående skole;45;43;2,5%;1,8;14,7
2017/18;DH;vg1;Færder videregående skole;23;19;10,3%;15,9;16,8
2017/18;DH;vg1;Horten videregående skole;26;24;5,9%;8,5;13,9
2017/18;DH;vg1;Sandefjord videregående skole;29;26;6,0%;7,1;21,2
2017/18;DH;vg2;Færder videregående skole;22;21;9,9%;12,6;30,7
2017/18;DH;vg2;Horten videregående skole;22;21;8,8%;13,6;14,8
2017/18;DH;vg2;Sandefjord videregående skole;21;21;8,5%;11,1;25,0
2017/18;DH;vg3;Færder videregående skole;6;4;18,6%;28,8;32,0
2017/18;EL;vg1;Færder videregående skole;49;47;2,3%;3,1;5,7
2017/18;EL;vg1;Horten videregående skole;46;45;3,1%;3,6;11,9
2017/18;EL;vg1;Sande videregående skole;26;25;5,0%;7,6;9,8
2017/18;EL;vg1;Sandefjord videregående skole;30;29;3,4%;4,8;8,0
2017/18;EL;vg1;Thor Heyerdahl videregående skole;47;46;1,2%;1,1;6,4
2017/18;EL;vg2;Færder videregående skole;50;45;1,9%;2,1;7,1
2017/18;EL;vg2;Horten videregående skole;44;44;3,0%;4,5;5,9
2017/18;EL;vg2;Sande videregående skole;16;15;4,6%;3,9;24,9
2017/18;EL;vg2;Sandefjord videregående skole;22;22;1,2%;1,7;3,1
2017/18;EL;vg2;Thor Heyerdahl videregående skole;46;45;3,3%;4,0;11,1
2017/18;EL;vg3;Færder videregående skole;16;15;5,9%;6,5;23,4
2017/18;EL;vg3;Horten videregående skole;21;20;4,5%;5,6;15,5
2017/18;EL;vg3;Sandefjord videregående skole;11;10;0,7%;0,8;2,7
2017/18;HS;vg1;Holmestrand videregående skole;13;12;5,1%;5,8;18,9
2017/18;HS;vg1;Horten videregående skole;60;52;8,0%;10,7;21,9
2017/18;HS;vg1;Nøtterøy videregående skole;57;53;6,7%;9,3;16,4
2017/18;HS;vg1;Re videregående skole;72;72;5,8%;8,9;10,4
2017/18;HS;vg1;Sande videregående skole;30;28;7,7%;11,5;15,4
2017/18;HS;vg1;Sandefjord videregående skole;102;96;5,1%;5,8;19,7
2017/18;HS;vg1;Thor Heyerdahl videregående skole;76;75;5,6%;7,5;16,0
2017/18;HS;vg2;Holmestrand videregående skole;11;10;11,9%;19,2;15,8
2017/18;HS;vg2;Horten videregående skole;36;32;5,4%;7,8;12,1
2017/18;HS;vg2;Nøtterøy videregående skole;62;59;5,9%;7,5;18,8
2017/18;HS;vg2;Re videregående skole;62;57;5,6%;8,3;10,8
2017/18;HS;vg2;Sande videregående skole;18;18;4,6%;6,2;12,4
2017/18;HS;vg2;Sandefjord videregående skole;73;70;8,0%;10,4;23,9
2017/18;HS;vg2;Thor Heyerdahl videregående skole;76;74;5,0%;6,9;12,5
2017/18;HS;vg3;Nøtterøy videregående skole;7;7;3,6%;4,9;10,3
2017/18;HS;vg3;Sandefjord videregående skole;18;16;8,2%;10,9;23,4
2017/18;ID;vg1;Horten videregående skole;32;29;4,8%;3,4;28,7
2017/18;ID;vg1;Re videregående skole;52;50;4,6%;5,5;16,0
2017/18;ID;vg1;Sande videregående skole;19;19;5,4%;6,6;18,5
2017/18;ID;vg1;Sandefjord videregående skole;32;32;3,8%;4,5;13,4
2017/18;ID;vg1;Thor Heyerdahl videregående skole;62;62;3,1%;3,6;11,6
2017/18;ID;vg2;Horten videregående skole;19;19;10,6%;15,0;25,6
2017/18;ID;vg2;Re videregående skole;52;52;4,2%;5,1;14,4
2017/18;ID;vg2;Sande videregående skole;29;29;9,1%;9,6;38,6
2017/18;ID;vg2;Sandefjord videregående skole;31;31;5,3%;4,9;25,9
2017/18;ID;vg2;Thor Heyerdahl videregående skole;61;61;3,1%;3,0;14,7
2017/18;ID;vg3;Horten videregående skole;26;26;4,0%;4,6;15,4
2017/18;ID;vg3;Re videregående skole;60;60;5,7%;7,1;18,9
2017/18;ID;vg3;Sande videregående skole;27;27;5,0%;4,6;25,0
2017/18;ID;vg3;Sandefjord videregående skole;31;31;7,5%;8,0;31,8
2017/18;ID;vg3;Thor Heyerdahl videregående skole;66;65;3,3%;2,6;19,4
2017/18;KD;vg1;Færder videregående skole;32;25;4,1%;5,8;9,7
2017/18;KD;vg1;Sandefjord videregående skole;19;18;6,2%;6,9;24,2
2017/18;KD;vg2;Færder videregående skole;26;26;6,0%;7,4;19,8
2017/18;KD;vg2;Sandefjord videregående skole;32;30;4,8%;6,4;13,1
2017/18;MD;vg1;Greveskogen videregående skole;30;29;5,4%;5,2;25,7
2017/18;MD;vg1;Sandefjord videregående skole;33;33;5,2%;1,5;43,6
2017/18;MD;vg1;Thor Heyerdahl videregående skole;19;19;4,3%;4,4;19,1
2017/18;MD;vg2;Greveskogen videregående skole;33;33;9,8%;9,4;47,3
2017/18;MD;vg2;Sandefjord videregående skole;49;49;3,8%;4,5;13,8
2017/18;MD;vg2;Thor Heyerdahl videregående skole;31;31;4,9%;5,7;18,1
2017/18;MD;vg3;Greveskogen videregående skole;30;29;5,4%;5,5;23,7
2017/18;MD;vg3;Sandefjord videregående skole;43;42;6,3%;6,4;27,7
2017/18;MD;vg3;Thor Heyerdahl videregående skole;26;25;7,8%;8,0;34,1
2017/18;ME;vg1;Holmestrand videregående skole;14;14;4,7%;4,8;20,8
2017/18;ME;vg1;Horten videregående skole;29;28;5,9%;7,7;17,5
2017/18;ME;vg1;Melsom videregående skole;17;16;6,3%;7,3;23,5
2017/18;ME;vg1;Sande videregående skole;19;18;8,3%;10,8;24,6
2017/18;ME;vg1;Thor Heyerdahl videregående skole;29;28;4,8%;5,3;19,3
2017/18;ME;vg2;Holmestrand videregående skole;11;10;10,5%;14,4;27,2
2017/18;ME;vg2;Horten videregående skole;22;22;6,5%;8,3;19,9
2017/18;ME;vg2;Melsom videregående skole;22;21;9,7%;11,2;35,8
2017/18;ME;vg2;Sande videregående skole;16;16;6,5%;8,8;17,6
2017/18;ME;vg2;Thor Heyerdahl videregående skole;23;23;7,6%;9,5;24,1
2017/18;MK;vg3;Horten videregående skole;31;30;7,0%;9,4;19,8
2017/18;MK;vg3;Melsom videregående skole;18;18;6,7%;8,5;21,2
2017/18;MK;vg3;Sande videregående skole;20;19;10,8%;14,9;27,1
2017/18;MK;vg3;Thor Heyerdahl videregående skole;25;23;10,6%;12,9;36,8
2017/18;NA;vg1;Melsom videregående skole;40;37;5,8%;5,9;26,1
2017/18;NA;vg2;Melsom videregående skole;27;26;5,9%;6,0;26,6
2017/18;NA;vg3;Melsom videregående skole;19;10;7,1%;6,7;34,0
2017/18;PB;vg3;Færder videregående skole;178;165;6,0%;6,4;12,9
2017/18;PB;vg3;Greveskogen videregående skole;7;7;10,3%;8,4;22,0
2017/18;PB;vg3;Holmestrand videregående skole;28;27;11,0%;16,0;24,1
2017/18;PB;vg3;Horten videregående skole;31;30;6,7%;9,7;15,0
2017/18;PB;vg3;Melsom videregående skole;1;1;9,1%;9,0;42,0
2017/18;PB;vg3;Nøtterøy videregående skole;11;10;4,0%;5,5;10,2
2017/18;PB;vg3;Re videregående skole;30;29;5,9%;9,6;7,6
2017/18;PB;vg3;Sande videregående skole;29;24;9,1%;10,2;36,0
2017/18;PB;vg3;Sandefjord videregående skole;109;95;7,1%;8,7;23,7
2017/18;PB;vg3;Thor Heyerdahl videregående skole;68;62;5,9%;7,2;17,6
2017/18;RM;vg1;Greveskogen videregående skole;30;27;9,8%;14,8;18,3
2017/18;RM;vg1;Holmestrand videregående skole;8;7;7,5%;7,4;34,3
2017/18;RM;vg1;Sandefjord videregående skole;20;17;7,6%;8,8;28,2
2017/18;RM;vg1;Thor Heyerdahl videregående skole;13;12;4,9%;7,9;6,8
2017/18;RM;vg2;Greveskogen videregående skole;22;20;4,6%;7,0;8,4
2017/18;RM;vg2;Holmestrand videregående skole;6;5;4,0%;6,0;7,6
2017/18;RM;vg2;Sandefjord videregående skole;18;17;5,2%;7,4;12,2
2017/18;RM;vg2;Thor Heyerdahl videregående skole;12;12;3,4%;3,4;15,1
2017/18;SS;vg1;Greveskogen videregående skole;39;32;10,7%;13,2;35,2
2017/18;SS;vg1;Horten videregående skole;29;25;7,5%;8,0;31,2
2017/18;SS;vg1;Sandefjord videregående skole;68;64;6,6%;7,5;24,9
2017/18;SS;vg1;Thor Heyerdahl videregående skole;46;42;5,0%;5,4;20,5
2017/18;SS;vg2;Greveskogen videregående skole;41;41;7,3%;8,5;26,7
2017/18;SS;vg2;Horten videregående skole;33;31;11,2%;16,0;25,7
2017/18;SS;vg2;Sandefjord videregående skole;100;93;5,8%;7,5;17,4
2017/18;SS;vg2;Thor Heyerdahl videregående skole;50;47;6,1%;7,9;18,6
2017/18;ST;vg1;Greveskogen videregående skole;217;210;5,5%;6,3;18,0
2017/18;ST;vg1;Holmestrand videregående skole;32;29;2,6%;3,1;8,1
2017/18;ST;vg1;Horten videregående skole;154;152;1,9%;2,3;5,8
2017/18;ST;vg1;Melsom videregående skole;19;19;8,0%;4,5;46,9
2017/18;ST;vg1;Nøtterøy videregående skole;129;125;5,8%;6,9;17,9
2017/18;ST;vg1;Re videregående skole;103;100;4,6%;5,0;16,5
2017/18;ST;vg1;Sande videregående skole;52;52;3,1%;3,6;9,8
2017/18;ST;vg1;Sandefjord videregående skole;324;317;4,3%;5,0;13,9
2017/18;ST;vg1;Thor Heyerdahl videregående skole;184;182;2,9%;2,8;11,5
2017/18;ST;vg2;Greveskogen videregående skole;242;237;6,6%;5,0;32,7
2017/18;ST;vg2;Holmestrand videregående skole;32;31;7,4%;9,2;21,1
2017/18;ST;vg2;Horten videregående skole;143;139;5,7%;6,8;17,3
2017/18;ST;vg2;Melsom videregående skole;16;14;7,6%;8,1;27,9
2017/18;ST;vg2;Nøtterøy videregående skole;131;127;5,6%;4,3;27,9
2017/18;ST;vg2;Re videregående skole;107;106;5,3%;5,2;21,5
2017/18;ST;vg2;Sande videregående skole;61;59;4,9%;5,3;16,9
2017/18;ST;vg2;Sandefjord videregående skole;313;306;5,3%;5,1;21,5
2017/18;ST;vg2;Thor Heyerdahl videregående skole;179;174;3,2%;2,9;14,2
2017/18;ST;vg3;Færder videregående skole;8;8;5,2%;4,8;22,0
2017/18;ST;vg3;Greveskogen videregående skole;213;208;7,8%;8,6;27,3
2017/18;ST;vg3;Holmestrand videregående skole;51;50;5,2%;6,9;12,5
2017/18;ST;vg3;Horten videregående skole;152;150;4,6%;4,8;16,7
2017/18;ST;vg3;Melsom videregående skole;15;15;8,0%;10,1;21,5
2017/18;ST;vg3;Nøtterøy videregående skole;139;137;6,3%;4,9;30,5
2017/18;ST;vg3;Re videregående skole;113;111;5,2%;4,2;25,0
2017/18;ST;vg3;Sande videregående skole;59;58;6,6%;7,9;19,8
2017/18;ST;vg3;Sandefjord videregående skole;321;315;6,8%;7,2;24,9
2017/18;ST;vg3;Thor Heyerdahl videregående skole;179;173;3,9%;3,5;16,9
2017/18;TP;vg1;Færder videregående skole;69;61;2,8%;3,7;8,0
2017/18;TP;vg1;Holmestrand videregående skole;13;12;9,6%;13,4;23,9
2017/18;TP;vg1;Horten videregående skole;10;9;6,6%;8,9;17,7
2017/18;TP;vg1;Sande videregående skole;14;14;3,4%;5,0;7,1
2017/18;TP;vg1;Sandefjord videregående skole;40;34;3,7%;3,4;18,4
2017/18;TP;vg1;Thor Heyerdahl videregående skole;40;37;6,0%;8,4;15,3
2017/18;TP;vg2;Færder videregående skole;89;86;3,2%;3,6;12,3
2017/18;TP;vg2;Horten videregående skole;12;11;2,2%;1,7;13,0
2017/18;TP;vg2;Sande videregående skole;13;13;3,3%;4,3;9,4
2017/18;TP;vg2;Sandefjord videregående skole;30;28;3,6%;4,7;10,5
2017/18;TP;vg2;Thor Heyerdahl videregående skole;39;35;2,7%;2,0;16,1
2022/23;Alle utdanningsprogram;vg1;Færder videregående skole;268;258;6,5%;7,5;24,5
2022/23;Alle utdanningsprogram;vg1;Greveskogen videregående skole;327;318;7,9%;7,9;33,4
2022/23;Alle utdanningsprogram;vg1;Holmestrand videregående skole;82;76;8,3%;6,5;46,0
2022/23;Alle utdanningsprogram;vg1;Horten videregående skole;405;388;7,0%;8,6;22,9
2022/23;Alle utdanningsprogram;vg1;Melsom videregående skole;61;54;7,8%;9,0;27,8
2022/23;Alle utdanningsprogram;vg1;Nøtterøy videregående skole;219;216;8,7%;10,5;27,3
2022/23;Alle utdanningsprogram;vg1;Re videregående skole;298;291;5,6%;6,4;20,3
2022/23;Alle utdanningsprogram;vg1;Sande videregående skole;149;140;7,5%;9,7;21,7
2022/23;Alle utdanningsprogram;vg1;Sandefjord videregående skole;730;691;6,6%;6,6;28,9
2022/23;Alle utdanningsprogram;vg1;Thor Heyerdahl videregående skole;599;557;5,2%;5,5;21,6
2022/23;Alle utdanningsprogram;vg2;Færder videregående skole;207;195;5,2%;5,2;24,1
2022/23;Alle utdanningsprogram;vg2;Greveskogen videregående skole;251;246;7,4%;7,5;29,9
2022/23;Alle utdanningsprogram;vg2;Holmestrand videregående skole;61;59;12,2%;15,3;35,5
2022/23;Alle utdanningsprogram;vg2;Horten videregående skole;347;341;7,3%;8,7;24,3
2022/23;Alle utdanningsprogram;vg2;Melsom videregående skole;46;45;7,4%;8,2;28,9
2022/23;Alle utdanningsprogram;vg2;Nøtterøy videregående skole;190;187;7,8%;8,4;28,7
2022/23;Alle utdanningsprogram;vg2;Re videregående skole;303;298;5,9%;6,4;23,0
2022/23;Alle utdanningsprogram;vg2;Sande videregående skole;139;139;7,4%;9,4;21,8
2022/23;Alle utdanningsprogram;vg2;Sandefjord videregående skole;699;677;7,3%;7,4;30,8
2022/23;Alle utdanningsprogram;vg2;Thor Heyerdahl videregående skole;511;490;5,3%;5,0;24,4
2022/23;Alle utdanningsprogram;vg3;Eksamenskontoret i Vestfold;1;0;-;-;-
2022/23;Alle utdanningsprogram;vg3;Færder videregående skole;186;179;8,9%;11,1;14,6
2022/23;Alle utdanningsprogram;vg3;Greveskogen videregående skole;205;205;8,6%;9,6;30,1
2022/23;Alle utdanningsprogram;vg3;Holmestrand videregående skole;49;43;16,6%;22,6;40,5
2022/23;Alle utdanningsprogram;vg3;Horten videregående skole;287;284;7,0%;7,9;25,3
2022/23;Alle utdanningsprogram;vg3;Melsom videregående skole;55;52;9,9%;11,6;35,2
2022/23;Alle utdanningsprogram;vg3;Nøtterøy videregående skole;165;163;7,7%;8,9;24,9
2022/23;Alle utdanningsprogram;vg3;Re videregående skole;183;182;6,0%;6,1;24,5
2022/23;Alle utdanningsprogram;vg3;Sande videregående skole;87;87;6,0%;7,7;17,2
2022/23;Alle utdanningsprogram;vg3;Sandefjord videregående skole;489;480;8,1%;7,9;33,6
2022/23;Alle utdanningsprogram;vg3;Thor Heyerdahl videregående skole;298;293;8,1%;7,6;37,0
2021/22;Alle utdanningsprogram;vg1;Færder videregående skole;201;191;2,3%;1,3;16,3
2021/22;Alle utdanningsprogram;vg1;Greveskogen videregående skole;276;268;1,7%;0,4;12,6
2021/22;Alle utdanningsprogram;vg1;Holmestrand videregående skole;92;88;3,1%;1,6;19,5
2021/22;Alle utdanningsprogram;vg1;Horten videregående skole;414;398;1,9%;1,3;11,0
2021/22;Alle utdanningsprogram;vg1;Melsom videregående skole;63;61;5,2%;4,1;29,0
2021/22;Alle utdanningsprogram;vg1;Nøtterøy videregående skole;200;194;1,8%;1,2;10,6
2021/22;Alle utdanningsprogram;vg1;Re videregående skole;313;310;1,4%;0,8;9,3
2021/22;Alle utdanningsprogram;vg1;Sande videregående skole;149;147;2,0%;1,5;12,0
2021/22;Alle utdanningsprogram;vg1;Sandefjord videregående skole;748;713;3,5%;2,0;23,3
2021/22;Alle utdanningsprogram;vg1;Thor Heyerdahl videregående skole;569;548;3,1%;2,5;17,3
2021/22;Alle utdanningsprogram;vg2;Færder videregående skole;227;214;2,1%;1,4;13,3
2021/22;Alle utdanningsprogram;vg2;Greveskogen videregående skole;286;283;2,3%;0,4;19,2
2021/22;Alle utdanningsprogram;vg2;Holmestrand videregående skole;43;42;4,6%;1,3;38,0
2021/22;Alle utdanningsprogram;vg2;Horten videregående skole;366;353;2,8%;2,2;14,3
2021/22;Alle utdanningsprogram;vg2;Melsom videregående skole;65;64;3,6%;1,1;28,2
2021/22;Alle utdanningsprogram;vg2;Nøtterøy videregående skole;189;187;2,5%;1,1;17,0
2021/22;Alle utdanningsprogram;vg2;Re videregående skole;296;287;2,2%;1,1;15,2
2021/22;Alle utdanningsprogram;vg2;Sande videregående skole;141;139;2,3%;2,0;11,4
2021/22;Alle utdanningsprogram;vg2;Sandefjord videregående skole;667;640;3,4%;2,1;20,8
2021/22;Alle utdanningsprogram;vg2;Thor Heyerdahl videregående skole;531;518;3,2%;2,0;19,5
2021/22;Alle utdanningsprogram;vg3;Færder videregående skole;223;215;2,8%;2,3;11,1
2021/22;Alle utdanningsprogram;vg3;Greveskogen videregående skole;198;195;1,8%;0,5;13,6
2021/22;Alle utdanningsprogram;vg3;Holmestrand videregående skole;69;67;4,2%;2,1;29,1
2021/22;Alle utdanningsprogram;vg3;Horten videregående skole;266;263;2,5%;1,0;17,8
2021/22;Alle utdanningsprogram;vg3;Melsom videregående skole;44;41;3,0%;2,1;17,0
2021/22;Alle utdanningsprogram;vg3;Nøtterøy videregående skole;178;177;2,8%;1,5;17,6
2021/22;Alle utdanningsprogram;vg3;Re videregående skole;175;174;1,8%;0,8;12,8
2021/22;Alle utdanningsprogram;vg3;Sande videregående skole;95;95;2,6%;1,7;15,4
2021/22;Alle utdanningsprogram;vg3;Sandefjord videregående skole;495;487;4,0%;2,1;26,1
2021/22;Alle utdanningsprogram;vg3;Thor Heyerdahl videregående skole;314;311;3,7%;1,9;25,1
2020/21;Alle utdanningsprogram;vg1;Færder videregående skole;243;226;3,1%;2,6;16,4
2020/21;Alle utdanningsprogram;vg1;Greveskogen videregående skole;288;277;2,4%;1,9;12,6
2020/21;Alle utdanningsprogram;vg1;Holmestrand videregående skole;67;66;3,1%;2,7;16,1
2020/21;Alle utdanningsprogram;vg1;Horten videregående skole;430;416;1,8%;1,2;11,5
2020/21;Alle utdanningsprogram;vg1;Melsom videregående skole;82;74;2,7%;1,3;19,5
2020/21;Alle utdanningsprogram;vg1;Nøtterøy videregående skole;187;177;1,4%;0,8;8,4
2020/21;Alle utdanningsprogram;vg1;Re videregående skole;316;294;1,5%;1,4;7,2
2020/21;Alle utdanningsprogram;vg1;Sande videregående skole;153;146;1,2%;0,7;7,5
2020/21;Alle utdanningsprogram;vg1;Sandefjord videregående skole;737;687;4,6%;5,4;16,3
2020/21;Alle utdanningsprogram;vg1;Thor Heyerdahl videregående skole;568;514;3,2%;3,3;14,0
2020/21;Alle utdanningsprogram;vg2;Færder videregående skole;244;235;2,4%;2,1;12,4
2020/21;Alle utdanningsprogram;vg2;Greveskogen videregående skole;272;268;4,5%;3,5;24,4
2020/21;Alle utdanningsprogram;vg2;Holmestrand videregående skole;71;68;4,0%;3,9;17,1
2020/21;Alle utdanningsprogram;vg2;Horten videregående skole;369;363;2,6%;1,9;15,2
2020/21;Alle utdanningsprogram;vg2;Melsom videregående skole;35;34;5,2%;4,2;28,4
2020/21;Alle utdanningsprogram;vg2;Nøtterøy videregående skole;206;202;1,8%;0,8;11,7
2020/21;Alle utdanningsprogram;vg2;Re videregående skole;290;279;2,2%;1,6;12,2
2020/21;Alle utdanningsprogram;vg2;Sande videregående skole;141;139;2,9%;2,5;14,7
