Skoleår;Utdanningsprogram;Nivå;Skole;Antall elever 2023/24;Elevgrunnlag for totalfravær 2023/24;Totalfravær (%) i 2023/24;Antall fraværsdager i 2023/24;Antall fraværtimer i 2023/24
2023/24;ME;vg2;Horten videregående skole;25;23;8,40 %;10,9;25,1
2023/24;ME;vg2;Melsom videregående skole;4;4;5,30 %;6,5;18
2023/24;ME;vg2;Thor Heyerdahl videregående skole;22;21;6,70 %;8,5;21,3
2023/24;ME;vg3;Vestfold;57;56;11,10 %;14,6;32,7
2023/24;ME;vg3;Horten videregående skole;23;23;13,80 %;18,2;40,3
2023/24;ME;vg3;Melsom videregående skole;9;8;14,00 %;19,5;35
2023/24;ME;vg3;Sande videregående skole;7;7;7,90 %;11;20,1
2023/24;ME;vg3;Thor Heyerdahl videregående skole;18;18;7,70 %;9,2;26,9
2023/24;NA;Totalt;Vestfold;77;76;7,20 %;8,2;27,9
2023/24;NA;vg1;Vestfold;42;41;7,30 %;8,4;27,4
2023/24;NA;vg1;Melsom videregående skole;42;41;7,30 %;8,4;27,4
2023/24;NA;vg2;Vestfold;33;33;7,50 %;8,2;30,1
2023/24;NA;vg2;Melsom videregående skole;33;33;7,50 %;8,2;30,1
2023/24;NA;vg3;Vestfold;2;2;2,10 %;3;5
2023/24;NA;vg3;Melsom videregående skole;2;2;2,10 %;3;5
2023/24;PB;Totalt;Vestfold;468;448;10,20 %;11,2;34,8
2023/24;PB;vg3;Vestfold;468;448;10,20 %;11,2;34,8
2023/24;PB;vg3;Færder videregående skole;131;122;8,00 %;9;18,7
2023/24;PB;vg3;Holmestrand videregående skole;38;36;15,10 %;18,3;38,3
2023/24;PB;vg3;Horten videregående skole;57;57;8,50 %;9,9;32,1
2023/24;PB;vg3;Melsom videregående skole;28;26;6,80 %;7;21,2
2023/24;PB;vg3;Nøtterøy videregående skole;14;14;9,00 %;11,7;26,9
2023/24;PB;vg3;Re videregående skole;31;30;5,40 %;7,7;12,3
2023/24;PB;vg3;Sande videregående skole;27;27;9,50 %;11,5;32,9
2023/24;PB;vg3;Sandefjord videregående skole;78;75;12,30 %;11,6;53,3
2023/24;PB;vg3;Thor Heyerdahl videregående skole;64;61;15,00 %;15,7;64,5
2023/24;RM;Totalt;Vestfold;139;124;9,20 %;10,8;33,5
2023/24;RM;vg1;Vestfold;85;74;11,30 %;13,7;39
2023/24;RM;vg1;Greveskogen videregående skole;38;36;10,90 %;13,1;37,8
2023/24;RM;vg1;Holmestrand videregående skole;12;9;9,90 %;0,3;95,7
2023/24;RM;vg1;Sandefjord videregående skole;17;16;11,70 %;16,8;26,2
2023/24;RM;vg1;Thor Heyerdahl videregående skole;18;13;13,00 %;20,8;18,8
2023/24;RM;vg2;Vestfold;54;50;6,10 %;6,5;25,5
2023/24;RM;vg2;Greveskogen videregående skole;26;23;5,30 %;5,2;25,2
2023/24;RM;vg2;Sandefjord videregående skole;15;15;6,50 %;4,9;38
2023/24;RM;vg2;Thor Heyerdahl videregående skole;13;12;7,10 %;11,3;10,5
2023/24;SR;Totalt;Vestfold;350;329;8,80 %;7,4;47,1
2023/24;SR;vg1;Vestfold;201;184;8,40 %;7,5;43,6
2023/24;SR;vg1;Greveskogen videregående skole;47;39;12,00 %;12;54,4
2023/24;SR;vg1;Horten videregående skole;19;17;11,80 %;6,4;81,6
2023/24;SR;vg1;Sandefjord videregående skole;89;83;6,50 %;5;37,6
2023/24;SR;vg1;Thor Heyerdahl videregående skole;46;45;7,60 %;8,4;30,7
2023/24;SR;vg2;Vestfold;149;145;9,20 %;7,4;51,7
