Skoleår;Utdanningsprogram;Nivå;Skole;B;H;I;M;S
2023/24;ST;vg 2;Nøtterøy videregående skole;144;0;6;10;2
2023/24;ST;vg 2;Re videregående skole;61;1;11;6;1
2023/24;ST;vg 2;Sande videregående skole;28;1;5;3;1
2023/24;ST;vg 2;Sandefjord videregående skole;195;5;48;23;5
2023/24;ST;vg 2;Thor Heyerdahl videregående skole;121;3;14;14;1
2023/24;ST;vg 3;Vestfold;956;19;80;53;11
2023/24;ST;vg 3;Greveskogen videregående skole;141;1;11;13;1
2023/24;ST;vg 3;Holmestrand videregående skole;42;1;8;3;0
2023/24;ST;vg 3;Horten videregående skole;124;4;7;4;2
2023/24;ST;vg 3;Melsom videregående skole;5;0;0;0;1
2023/24;ST;vg 3;Nøtterøy videregående skole;127;0;8;5;3
2023/24;ST;vg 3;Re videregående skole;106;1;9;1;0
2023/24;ST;vg 3;Sande videregående skole;28;1;4;4;1
2023/24;ST;vg 3;Sandefjord videregående skole;253;9;20;17;3
2023/24;ST;vg 3;Thor Heyerdahl videregående skole;130;2;13;6;0
2023/24;TP;vg 1;Vestfold;161;23;10;29;21
2023/24;TP;vg 1;Færder videregående skole;59;9;2;4;5
2023/24;TP;vg 1;Holmestrand videregående skole;7;4;0;2;2
2023/24;TP;vg 1;Horten videregående skole;15;2;0;6;2
2023/24;TP;vg 1;Sande videregående skole;6;0;0;1;4
2023/24;TP;vg 1;Sandefjord videregående skole;33;6;7;9;5
2023/24;TP;vg 1;Thor Heyerdahl videregående skole;41;2;1;7;3
2023/24;TP;vg 2;Vestfold;176;11;12;14;9
2023/24;TP;vg 2;Færder videregående skole;66;6;7;5;5
2023/24;TP;vg 2;Horten videregående skole;11;0;0;3;0
2023/24;TP;vg 2;Sande videregående skole;15;2;0;1;1
2023/24;TP;vg 2;Sandefjord videregående skole;37;1;2;5;2
2023/24;TP;vg 2;Thor Heyerdahl videregående skole;47;2;3;0;1
2023/24;TP;vg 3;Vestfold;0;1;0;0;0
2023/24;TP;vg 3;Eksamenskontoret i Vestfold;0;1;0;0;0
2023/24;BA;Totalt;Vestfold;292;21;28;18;27
2023/24;BA;Totalt;Færder videregående skole;100;11;10;5;6
2023/24;BA;Totalt;Re videregående skole;121;2;11;8;11
2023/24;BA;Totalt;Thor Heyerdahl videregående skole;71;8;7;5;10
2023/24;EL;Totalt;Vestfold;345;19;30;9;5
2023/24;EL;Totalt;Færder videregående skole;109;10;7;0;1
2023/24;EL;Totalt;Horten videregående skole;62;1;13;3;1
2023/24;EL;Totalt;Sande videregående skole;37;0;7;0;1
2023/24;EL;Totalt;Sandefjord videregående skole;52;7;2;0;0
2023/24;EL;Totalt;Thor Heyerdahl videregående skole;85;1;1;6;2
2023/24;FD;Totalt;Vestfold;97;5;8;21;22
2023/24;FD;Totalt;Eksamenskontoret i Vestfold;0;1;0;0;0
2023/24;FD;Totalt;Horten videregående skole;24;3;3;6;9
