Karaktertype;Skoleår;EnhetNivaa;Vurderingsfagkode;Vurderingsfagnavn;Fylke;EnhetNavn;Karakterer;Antall elever
Standpunkt;2024-25;3;MAT1023;Matematikk 2P;Vestfold;Thor Heyerdahl videregående skole;3,8;169
Standpunkt;2024-25;3;MAT1023;Matematikk 2P;Vestfold;Wang Tønsberg AS;3,9;25
Standpunkt;2024-25;3;MAT1111;Matematikk 1P-Y BA;Vestfold;Færder videregående skole;3;65
Standpunkt;2024-25;3;MAT1111;Matematikk 1P-Y BA;Vestfold;Gjennestad videregående skole;3,8;16
Standpunkt;2024-25;3;MAT1111;Matematikk 1P-Y BA;Vestfold;Re videregående skole;3,7;76
Standpunkt;2024-25;3;MAT1113;Matematikk 1P-Y EL;Vestfold;Færder videregående skole;4,4;40
Standpunkt;2024-25;3;MAT1113;Matematikk 1P-Y EL;Vestfold;Horten videregående skole;3,1;29
Standpunkt;2024-25;3;MAT1113;Matematikk 1P-Y EL;Vestfold;Sande videregående skole;3,1;27
Standpunkt;2024-25;3;MAT1113;Matematikk 1P-Y EL;Vestfold;Sandefjord videregående skole;4,2;27
Standpunkt;2024-25;3;MAT1113;Matematikk 1P-Y EL;Vestfold;Thor Heyerdahl videregående skole;4;32
Standpunkt;2024-25;3;MAT1115;Matematikk 1P-Y FD;Vestfold;Horten videregående skole;2,9;26
Standpunkt;2024-25;3;MAT1115;Matematikk 1P-Y FD;Vestfold;Sandefjord videregående skole;3,5;33
Standpunkt;2024-25;3;MAT1117;Matematikk 1P-Y HS;Vestfold;Horten videregående skole;3,2;68
Standpunkt;2024-25;3;MAT1117;Matematikk 1P-Y HS;Vestfold;Nøtterøy videregående skole;2,7;39
Standpunkt;2024-25;3;MAT1117;Matematikk 1P-Y HS;Vestfold;Re videregående skole;3,6;68
Standpunkt;2024-25;3;MAT1117;Matematikk 1P-Y HS;Vestfold;Sande videregående skole;2,8;46
Standpunkt;2024-25;3;MAT1117;Matematikk 1P-Y HS;Vestfold;Sandefjord videregående skole;3,3;101
