Skoleår;Fylke;Kommune;Grunnskole;Antall elever med gsp>0;Grunnskolepoeng
2020;Vestfold;TØNSBERG;Kongseik ungdomsskole;77;40,9
2020;Vestfold;TØNSBERG;Presterød ungdomsskole;122;44,6
2020;Vestfold;TØNSBERG;Revetal ungdomsskole;121;42,2
2020;Vestfold;TØNSBERG;Ringshaug ungdomsskole;73;45,9
2020;Vestfold;TØNSBERG;Tønsberg kommune læringssenter;12;30,5
2020;Vestfold;TØNSBERG;Tønsberg Montessori skole;10;42,4
2020;Vestfold;TØNSBERG;Vear Kombinerte skole;22;41,3
2020;Vestfold;TØNSBERG;Wang Tønsberg AS (grunnskole);30;43,2
2019;Vestfold;Vestfold;Vestfold;2 474;41,7
2019;Vestfold;FÆRDER;Færder;270;42,1
2019;Vestfold;FÆRDER;Borgheim ungdomsskole;133;42,0
2019;Vestfold;FÆRDER;Steinerskolen i Vestfold;1;41,7
2019;Vestfold;FÆRDER;Teigar ungdomsskole;107;41,8
2019;Vestfold;FÆRDER;Tjøme ungdomsskole;29;43,6
2019;Vestfold;HOLMESTRAND;Holmestrand;249;42,6
2019;Vestfold;HOLMESTRAND;Gjøklep ungdomsskole;118;41,2
2019;Vestfold;HOLMESTRAND;Hof skole;35;43,4
2019;Vestfold;HOLMESTRAND;Sande ungdomsskole;96;44,0
2019;Vestfold;HORTEN;Horten;289;41,3
2019;Vestfold;HORTEN;Bakkeåsen skole;3;29,7
2019;Vestfold;HORTEN;Borre ungdomsskole;87;44,5
2019;Vestfold;HORTEN;Holtan ungdomsskole;116;40,4
2019;Vestfold;HORTEN;Horten kommunale voksenopplæring;4;20,9
2019;Vestfold;HORTEN;Orerønningen ungdomsskole;79;40,5
2019;Vestfold;LARVIK;Larvik;494;41,6
2019;Vestfold;LARVIK;Brunla ungdomsskole;62;41,8
2019;Vestfold;LARVIK;Hedrum ungdomsskole;101;41,3
2019;Vestfold;LARVIK;Kvelde skole;24;40,8
2019;Vestfold;LARVIK;Lardal skole;27;40,6
2019;Vestfold;LARVIK;Larvik kommune Voksenopplæringa;16;25,2
2019;Vestfold;LARVIK;Mellomhagen ungdomsskole;75;42,0
2019;Vestfold;LARVIK;Mesterfjellet skole;53;42,0
2019;Vestfold;LARVIK;Ra ungdomsskole;101;43,6
2019;Vestfold;LARVIK;Tjodalyng skole;35;43,5
2019;Vestfold;SANDEFJORD;Sandefjord;634;40,9
2019;Vestfold;SANDEFJORD;Andebu ungdomsskole;74;39,3
2019;Vestfold;SANDEFJORD;Breidablikk ungdomsskole;138;41,5
2019;Vestfold;SANDEFJORD;Bugården ungdomsskole;97;40,5
2019;Vestfold;SANDEFJORD;Moe skole;12;44,9
2019;Vestfold;SANDEFJORD;Mokollen skole;16;35,8
2019;Vestfold;SANDEFJORD;Ranvik ungdomsskole;101;40,7
2019;Vestfold;SANDEFJORD;Sandefjord voksenopplæring;13;27,9
2019;Vestfold;SANDEFJORD;Stokke ungdomsskole;78;43,1
2019;Vestfold;SANDEFJORD;Varden ungdomsskole;105;42,3
2019;Vestfold;TØNSBERG;Tønsberg;538;42,2
2019;Vestfold;TØNSBERG;Byskogen Kombinerte skole;90;42,8
2019;Vestfold;TØNSBERG;Elihu Kristne grunnskole;10;42,8
