Skoleår;Skole;Nivå;Utdanningsprogram;B;H;I;M;S
2022/23;Greveskogen videregående skole;vg 3;Musikk, dans og drama;89,7%;0,0%;3,4%;6,9%;0,0%
2019/20;Greveskogen videregående skole;vg 3;Musikk, dans og drama;88,5%;0,0%;3,8%;3,8%;3,8%
2018/19;Greveskogen videregående skole;vg 3;Musikk, dans og drama;84,8%;0,0%;6,1%;9,1%;0,0%
2017/18;Greveskogen videregående skole;vg 3;Musikk, dans og drama;80,0%;0,0%;10,0%;6,7%;3,3%
2018/19;Greveskogen videregående skole;vg 3;Påbygging;100,0%;0,0%;0,0%;0,0%;0,0%
2019/20;Greveskogen videregående skole;vg 3;Påbygging;100,0%;0,0%;0,0%;0,0%;0,0%
2017/18;Greveskogen videregående skole;vg 3;Påbygging;14,3%;85,7%;0,0%;0,0%;0,0%
2019/20;Greveskogen videregående skole;vg 1;Restaurant- og matfag;84,0%;0,0%;0,0%;8,0%;8,0%
2021/22;Greveskogen videregående skole;vg 1;Restaurant- og matfag;77,5%;2,5%;7,5%;10,0%;2,5%
2020/21;Greveskogen videregående skole;vg 1;Restaurant- og matfag;74,4%;0,0%;5,1%;15,4%;5,1%
2017/18;Greveskogen videregående skole;vg 1;Restaurant- og matfag;70,0%;0,0%;0,0%;20,0%;10,0%
2018/19;Greveskogen videregående skole;vg 1;Restaurant- og matfag;69,6%;0,0%;0,0%;21,7%;8,7%
2022/23;Greveskogen videregående skole;vg 1;Restaurant- og matfag;67,9%;10,7%;10,7%;7,1%;3,6%
2021/22;Greveskogen videregående skole;vg 2;Restaurant- og matfag;97,1%;0,0%;0,0%;2,9%;0,0%
2020/21;Greveskogen videregående skole;vg 2;Restaurant- og matfag;92,0%;0,0%;4,0%;4,0%;0,0%
2019/20;Greveskogen videregående skole;vg 2;Restaurant- og matfag;91,3%;0,0%;0,0%;4,3%;4,3%
2018/19;Greveskogen videregående skole;vg 2;Restaurant- og matfag;88,9%;0,0%;0,0%;3,7%;7,4%
2022/23;Greveskogen videregående skole;vg 2;Restaurant- og matfag;76,0%;0,0%;0,0%;16,0%;8,0%
2017/18;Greveskogen videregående skole;vg 2;Restaurant- og matfag;68,2%;4,5%;13,6%;4,5%;9,1%
2021/22;Greveskogen videregående skole;vg 1;Salg, service og reiseliv;92,9%;0,0%;0,0%;7,1%;0,0%
2020/21;Greveskogen videregående skole;vg 1;Salg, service og reiseliv;70,6%;0,0%;5,9%;17,6%;5,9%
2022/23;Greveskogen videregående skole;vg 1;Salg, service og reiseliv;70,0%;5,0%;7,5%;12,5%;5,0%
2022/23;Greveskogen videregående skole;vg 2;Salg, service og reiseliv;84,6%;0,0%;0,0%;15,4%;0,0%
2021/22;Greveskogen videregående skole;vg 2;Salg, service og reiseliv;70,6%;5,9%;5,9%;14,7%;2,9%
