Skoleår;Utdanningsprogram;Nivå;Skole;Antall elever 2024/25;Elevgrunnlag for totalfravær 2024/25;Totalfravær (%) i 2024/25;Snitt fraværsdager i 2024/25;Snitt fraværtimer i 2024/25
2024/25;EL;vg 1;Færder videregående skole;62;62;5,8%;8,6;12,7
2024/25;KD;vg 1;Færder videregående skole;28;27;6,4%;7,7;23,1
2024/25;TP;vg 1;Færder videregående skole;72;63;9,2%;13,7;19,7
2024/25;Alle utdanningsprogram;vg 1;Færder videregående skole;235;219;6,9%;9,4;18,7
2024/25;BA;vg 2;Færder videregående skole;62;58;6,5%;8,1;21,4
2024/25;EL;vg 2;Færder videregående skole;46;43;5,5%;6,7;19,1
2024/25;KD;vg 2;Færder videregående skole;28;28;8,6%;10,0;32,3
2024/25;TP;vg 2;Færder videregående skole;90;87;4,8%;6,8;11,7
2024/25;Alle utdanningsprogram;vg 2;Færder videregående skole;226;216;5,9%;7,6;18,5
2024/25;EL;vg 3;Færder videregående skole;16;16;2,8%;3,6;9,3
2024/25;KD;vg 3;Færder videregående skole;43;42;8,4%;11,5;22,5
2024/25;PB;vg 3;Færder videregående skole;145;137;8,0%;10,9;17,1
2024/25;Alle utdanningsprogram;vg 3;Færder videregående skole;204;195;7,6%;10,4;17,6
