ProgramomraadeNivaa;;Fylke;Utdanningsprogramvariantkode;Programomraadekode;UtdanningsprogramvariantNavn;ProgramomraadeNavn;År;Fagbrev
2;Praksiskandidat;Vestfold;EL;EL;Elektro og datateknologi;Alle programområder;2023-24;10
2;Praksiskandidat;Vestfold;FD;FD;Frisør, blomster, interiør og eksponeringsdesign;Alle programområder;2023-24;1
2;Praksiskandidat;Vestfold;HS;HS;Helse- og oppvekstfag;Alle programområder;2023-24;130
2;Praksiskandidat;Vestfold;IM;IM;Informasjonsteknologi og medieproduksjon;Alle programområder;2023-24;2
2;Praksiskandidat;Vestfold;NA;NA;Naturbruk;Alle programområder;2023-24;3
2;Praksiskandidat;Vestfold;RM;RM;Restaurant- og matfag;Alle programområder;2023-24;11
2;Praksiskandidat;Vestfold;SR;SR;Salg, service og reiseliv;Alle programområder;2023-24;22
2;Praksiskandidat;Vestfold;SS;SS;Service og samferdsel;Alle programområder;2023-24;40
2;Praksiskandidat;Vestfold;TP;TP;Teknologi- og industrifag;Alle programområder;2023-24;75
2;Fagbrev på jobb;Vestfold;BA;BA;Bygg- og anleggsteknikk;Alle programområder;2023-24;3
2;Fagbrev på jobb;Vestfold;EL;EL;Elektro og datateknologi;Alle programområder;2023-24;3
2;Fagbrev på jobb;Vestfold;FD;FD;Frisør, blomster, interiør og eksponeringsdesign;Alle programområder;2023-24;2
2;Fagbrev på jobb;Vestfold;HS;HS;Helse- og oppvekstfag;Alle programområder;2023-24;4
2;Fagbrev på jobb;Vestfold;RM;RM;Restaurant- og matfag;Alle programområder;2023-24;1
2;Fagbrev på jobb;Vestfold;SS;SS;Service og samferdsel;Alle programområder;2023-24;1
2;Fagbrev på jobb;Vestfold;TP;TP;Teknologi- og industrifag;Alle programområder;2023-24;2
0;Lærling;Vestfold;;Alle;Alle utdanningsprogram;Alle programområder;2024-25;849
2;Lærling;Vestfold;BA;BA;Bygg- og anleggsteknikk;Alle programområder;2024-25;252
2;Lærling;Vestfold;DH;DH;Design og håndverk;Alle programområder;2024-25;4
2;Lærling;Vestfold;EL;EL;Elektro og datateknologi;Alle programområder;2024-25;133
2;Lærling;Vestfold;FD;FD;Frisør, blomster, interiør og eksponeringsdesign;Alle programområder;2024-25;15
2;Lærling;Vestfold;HS;HS;Helse- og oppvekstfag;Alle programområder;2024-25;112
2;Lærling;Vestfold;DT;DT;Håndverk, design og produktutvikling;Alle programområder;2024-25;1
2;Lærling;Vestfold;IM;IM;Informasjonsteknologi og medieproduksjon;Alle programområder;2024-25;33
2;Lærling;Vestfold;NA;NA;Naturbruk;Alle programområder;2024-25;8
2;Lærling;Vestfold;RM;RM;Restaurant- og matfag;Alle programområder;2024-25;40
2;Lærling;Vestfold;SR;SR;Salg, service og reiseliv;Alle programområder;2024-25;43
2;Lærling;Vestfold;SS;SS;Service og samferdsel;Alle programområder;2024-25;8
2;Lærling;Vestfold;TP;TP;Teknologi- og industrifag;Alle programområder;2024-25;200
0;Praksiskandidat;Vestfold;;Alle;Alle utdanningsprogram;Alle programområder;2024-25;452
2;Praksiskandidat;Vestfold;BA;BA;Bygg- og anleggsteknikk;Alle programområder;2024-25;123
2;Praksiskandidat;Vestfold;DH;DH;Design og håndverk;Alle programområder;2024-25;1
2;Praksiskandidat;Vestfold;EL;EL;Elektro og datateknologi;Alle programområder;2024-25;7
2;Praksiskandidat;Vestfold;FD;FD;Frisør, blomster, interiør og eksponeringsdesign;Alle programområder;2024-25;3
2;Praksiskandidat;Vestfold;HS;HS;Helse- og oppvekstfag;Alle programområder;2024-25;152
2;Praksiskandidat;Vestfold;IM;IM;Informasjonsteknologi og medieproduksjon;Alle programområder;2024-25;2
2;Praksiskandidat;Vestfold;NA;NA;Naturbruk;Alle programområder;2024-25;2
2;Praksiskandidat;Vestfold;RM;RM;Restaurant- og matfag;Alle programområder;2024-25;8
2;Praksiskandidat;Vestfold;SR;SR;Salg, service og reiseliv;Alle programområder;2024-25;34
2;Praksiskandidat;Vestfold;SS;SS;Service og samferdsel;Alle programområder;2024-25;25
2;Praksiskandidat;Vestfold;TP;TP;Teknologi- og industrifag;Alle programområder;2024-25;95
0;Fagopplæring i skole;Vestfold;;Alle;Alle utdanningsprogram;Alle programområder;2024-25;47
2;Fagopplæring i skole;Vestfold;BA;BA;Bygg- og anleggsteknikk;Alle programområder;2024-25;2
2;Fagopplæring i skole;Vestfold;EL;EL;Elektro og datateknologi;Alle programområder;2024-25;4
2;Fagopplæring i skole;Vestfold;HS;HS;Helse- og oppvekstfag;Alle programområder;2024-25;38
2;Fagopplæring i skole;Vestfold;IM;IM;Informasjonsteknologi og medieproduksjon;Alle programområder;2024-25;1
2;Fagopplæring i skole;Vestfold;NA;NA;Naturbruk;Alle programområder;2024-25;1
2;Fagopplæring i skole;Vestfold;SR;SR;Salg, service og reiseliv;Alle programområder;2024-25;1
0;Fagbrev på jobb;Vestfold;;Alle;Alle utdanningsprogram;Alle programområder;2024-25;35
2;Fagbrev på jobb;Vestfold;BA;BA;Bygg- og anleggsteknikk;Alle programområder;2024-25;8
2;Fagbrev på jobb;Vestfold;EL;EL;Elektro og datateknologi;Alle programområder;2024-25;7
2;Fagbrev på jobb;Vestfold;HS;HS;Helse- og oppvekstfag;Alle programområder;2024-25;11
2;Fagbrev på jobb;Vestfold;IM;IM;Informasjonsteknologi og medieproduksjon;Alle programområder;2024-25;1
2;Fagbrev på jobb;Vestfold;RM;RM;Restaurant- og matfag;Alle programområder;2024-25;5
2;Fagbrev på jobb;Vestfold;TP;TP;Teknologi- og industrifag;Alle programområder;2024-25;3
0;Kompetansebevis;Vestfold;;Alle;Alle utdanningsprogram;Alle programområder;2024-25;50
