Skoleår;Skole;Utdanningstype;Utdanningsprogram;Nivå;Fagkode;Fag;Antall elever;Karaktersnitt årsslutt;Avvik Stp-Eks
2017/18;Greveskogen videregående skole;SF;ST;vg 3;SAM3019;Sosiologi og sosialantropologi;19;-;-
2017/18;Greveskogen videregående skole;SF;ST;vg 2;FSP5092;Spansk I;27;2,98;-1,20
2017/18;Greveskogen videregående skole;SF;ST;vg 1;FSP5091;Spansk I, 1. år;24;4,57;-
2017/18;Greveskogen videregående skole;SF;ST;vg 3;FSP5091;Spansk I, 1. år;1;-;-
2017/18;Greveskogen videregående skole;SF;ST;vg 2;FSP5097;Spansk I+II, 2. år;14;2,89;-
2017/18;Greveskogen videregående skole;SF;ST;vg 2;FSP5095;Spansk II;69;4,02;-1,26
2017/18;Greveskogen videregående skole;SF;ST;vg 1;FSP5094;Spansk II, 1. år;84;4,80;-
2017/18;Greveskogen videregående skole;SF;ST;vg 2;FSP5094;Spansk II, 1. år;1;-;-
2017/18;Greveskogen videregående skole;SF;ST;vg 3;FSP5094;Spansk II, 1. år;1;4,75;-
2017/18;Greveskogen videregående skole;SF;ST;vg 2;FSP5099;Spansk II, muntlig;17;4,56;-
2017/18;Greveskogen videregående skole;SF;ST;vg 3;PSP5053;Spansk nivå III;14;4,82;-0,10
2017/18;Greveskogen videregående skole;SF;ST;vg 3;PSP5054;Spansk nivå III, muntlig;14;4,79;-
2017/18;Greveskogen videregående skole;SF;ST;vg 1;REA3018;Teknologi og forskningslære 1;30;4,78;-
2017/18;Greveskogen videregående skole;SF;ST;vg 2;FSP5119;Tysk I;54;4,48;-0,86
2017/18;Greveskogen videregående skole;SF;ST;vg 1;FSP5118;Tysk I, 1. år;40;4,63;-
2017/18;Greveskogen videregående skole;SF;ST;vg 2;FSP5118;Tysk I, 1. år;1;-;-
2017/18;Greveskogen videregående skole;SF;ST;vg 3;FSP5125;Tysk I+II;7;4,33;-
2017/18;Greveskogen videregående skole;SF;ST;vg 2;FSP5124;Tysk I+II, 2. år;1;-;-
2017/18;Greveskogen videregående skole;SF;ST;vg 2;FSP5122;Tysk II;25;4,70;-0,40
2017/18;Greveskogen videregående skole;SF;ST;vg 1;FSP5121;Tysk II, 1. år;35;4,50;-
2017/18;Greveskogen videregående skole;SF;ST;vg 2;FSP5126;Tysk II, muntlig;6;-;-
2017/18;Greveskogen videregående skole;SF;ST;vg 3;FSP5126;Tysk II, muntlig;4;-;-
2017/18;Greveskogen videregående skole;SF;ST;vg 3;PSP5071;Tysk nivå III;11;-;-0,17
2017/18;Greveskogen videregående skole;SF;ST;vg 3;PSP5072;Tysk nivå III, muntlig;11;5,07;-
2017/18;Greveskogen videregående skole;SF;ST;vg 3;SAM3035;Økonomi og ledelse;15;-;-0,40
2017/18;Greveskogen videregående skole;SF;ST;vg 2;SAM3033;Økonomistyring;20;3,67;0,00
2017/18;Greveskogen videregående skole;SF;ST;vg 2;-;-;1;-;-
2017/18;Holmestrand videregående skole;YF;HS;vg 1;ENG1001;Engelsk, vg1 yrkesfaglige utdanningprogram;13;3,28;-
2017/18;Holmestrand videregående skole;YF;HS;vg 2;ENG1003;Engelsk, vg2 yrkesfaglige utdanningsprogram;11;-;-
2017/18;Holmestrand videregående skole;YF;HS;vg 1;HSF1001;Helsefremmende arbeid;13;3,47;-
2017/18;Holmestrand videregående skole;YF;HS;vg 2;BUA2001;Helsefremmende arbeid;11;-;-
2017/18;Holmestrand videregående skole;YF;HS;vg 1;HSF1002;Kommunikasjon og samhandling;13;4,56;-
2017/18;Holmestrand videregående skole;YF;HS;vg 2;BUA2002;Kommunikasjon og samhandling;11;-;-
2017/18;Holmestrand videregående skole;YF;HS;vg 1;KRO1004;Kroppsøving vg1;13;3,11;-
2017/18;Holmestrand videregående skole;YF;HS;vg 2;KRO1005;Kroppsøving vg2;11;5,10;-
2017/18;Holmestrand videregående skole;YF;HS;vg 1;MAT1001;Matematikk 1P-Y;13;4,22;-
2017/18;Holmestrand videregående skole;YF;HS;vg 1;NAT1001;Naturfag, vg1 yrkesfaglig utdanningsprogram;13;4,00;-
2017/18;Holmestrand videregående skole;YF;HS;vg 1;NOR1204;Norsk, vg1 yrkesfaglige utdanningsprogram;13;4,33;-
2017/18;Holmestrand videregående skole;YF;HS;vg 2;NOR1206;Norsk, vg2 yrkesfaglige utdanningsprogram;11;3,70;-
2017/18;Holmestrand videregående skole;YF;HS;vg 2;SAF1001;Samfunnsfag;11;3,10;-
2017/18;Holmestrand videregående skole;YF;HS;vg 2;BUA2004;Tverrfaglig eksamen barne- og ungdomsarbeiderfag;10;3,70;-
2017/18;Holmestrand videregående skole;YF;HS;vg 1;YFF4106;Yrkesfaglig fordypning vg1;13;4,06;-
2017/18;Holmestrand videregående skole;YF;HS;vg 2;YFF4209;Yrkesfaglig fordypning vg2;11;2,90;-
2017/18;Holmestrand videregående skole;YF;HS;vg 1;HSF1003;Yrkesutøvelse;13;-;-
2017/18;Holmestrand videregående skole;YF;HS;vg 2;BUA2003;Yrkesutøvelse;11;4,00;-
2017/18;Holmestrand videregående skole;SF;ME;vg 2;MOK3002;Bilde;9;-;-
2017/18;Holmestrand videregående skole;SF;ME;vg 1;ENG1002;Engelsk, vg1 studieforberedende utdanningsprogram;14;4,10;-
2017/18;Holmestrand videregående skole;SF;ME;vg 2;GEO1001;Geografi;11;3,31;-
2017/18;Holmestrand videregående skole;SF;ME;vg 2;HIS1001;Historie vg2 studieforberedende utdanningsprogram;11;-;-
2017/18;Holmestrand videregående skole;SF;ME;vg 2;REA3014;Informasjonsteknologi 1;2;-;-
2017/18;Holmestrand videregående skole;SF;ME;vg 1;KRO1004;Kroppsøving vg1;14;3,43;-
2017/18;Holmestrand videregående skole;SF;ME;vg 2;KRO1005;Kroppsøving vg2;11;3,69;-
2017/18;Holmestrand videregående skole;SF;ME;vg 1;MAT1011;Matematikk 1P;14;5,00;-
2017/18;Holmestrand videregående skole;SF;ME;vg 2;MAT1015;Matematikk 2P;10;4,12;-1,00
2017/18;Holmestrand videregående skole;SF;ME;vg 2;REA3026;Matematikk S1;4;-;-1,00
2017/18;Holmestrand videregående skole;SF;ME;vg 1;MOK2001;Mediesamfunnet 1;14;4,60;-
2017/18;Holmestrand videregående skole;SF;ME;vg 2;MOK2002;Mediesamfunnet 2;11;4,15;-
2017/18;Holmestrand videregående skole;SF;ME;vg 1;MOK2005;Medieuttrykk 1;14;3,33;-
2017/18;Holmestrand videregående skole;SF;ME;vg 2;MOK2006;Medieuttrykk 2;11;2,54;-
2017/18;Holmestrand videregående skole;SF;ME;vg 1;NAT1002;Naturfag, vg1 studieforberedende utdanningsprogram;14;4,23;-
2017/18;Holmestrand videregående skole;SF;ME;vg 1;NOR1201;Norsk hovedmål, vg1 studieforberedende utdanningsprogram, skriftlig;14;4,78;-
2017/18;Holmestrand videregående skole;SF;ME;vg 2;NOR1208;Norsk hovedmål, vg2 studieforberedende utdanningsprogram, skriftlig;11;4,69;-
2017/18;Holmestrand videregående skole;SF;ME;vg 1;NOR1202;Norsk sidemål, vg1 studieforberedende utdanningsprogram, skriftlig;14;3,65;-
2017/18;Holmestrand videregående skole;SF;ME;vg 2;NOR1209;Norsk sidemål, vg2 studieforberedende utdanningsprogram, skriftlig;11;-;-
2017/18;Holmestrand videregående skole;SF;ME;vg 1;NOR1203;Norsk, vg1 studieforberedende utdanningsprogram, muntlig;14;-;-
2017/18;Holmestrand videregående skole;SF;ME;vg 2;NOR1210;Norsk, vg2 studieforberedende utdanningsprogram, muntlig;11;-;-
2017/18;Holmestrand videregående skole;SF;ME;vg 2;SAF1001;Samfunnsfag;11;-;-
2017/18;Holmestrand videregående skole;SF;ME;vg 2;FSP5095;Spansk II;3;-;-0,50
2017/18;Holmestrand videregående skole;SF;ME;vg 1;FSP5094;Spansk II, 1. år;1;-;-
2017/18;Holmestrand videregående skole;SF;ME;vg 2;FSP5119;Tysk I;3;-;-
2017/18;Holmestrand videregående skole;SF;ME;vg 1;FSP5118;Tysk I, 1. år;2;-;-
2017/18;Holmestrand videregående skole;SF;ME;vg 1;FSP5123;Tysk I+II, 1. år;9;-;-
2017/18;Holmestrand videregående skole;SF;ME;vg 2;FSP5124;Tysk I+II, 2. år;5;-;-
2017/18;Holmestrand videregående skole;SF;ME;vg 1;FSP5121;Tysk II, 1. år;3;-;-
2017/18;Holmestrand videregående skole;PB;PB;vg 3;ENG1002;Engelsk, vg1 studieforberedende utdanningsprogram;1;-;-
2017/18;Holmestrand videregående skole;PB;PB;vg 3;HIS1003;Historie vg3 påbygging til generell studiekompetanse;27;3,55;-
2017/18;Holmestrand videregående skole;PB;PB;vg 3;REA3014;Informasjonsteknologi 1;14;-;-
2017/18;Holmestrand videregående skole;PB;PB;vg 3;REA3015;Informasjonsteknologi 2;1;2,50;-
2017/18;Holmestrand videregående skole;PB;PB;vg 3;KRO1006;Kroppsøving vg3;28;3,06;-
2017/18;Holmestrand videregående skole;PB;PB;vg 3;SAM3005;Markedsføring og ledelse 1;5;-;-
2017/18;Holmestrand videregående skole;PB;PB;vg 3;MAT1005;Matematikk 2P-Y;27;3,27;-0,45
2017/18;Holmestrand videregående skole;PB;PB;vg 3;NAT1003;Naturfag, vg3 påbygging til generell studiekompetanse;27;3,09;-
2017/18;Holmestrand videregående skole;PB;PB;vg 3;NOR1406;Norsk for elever i vgo med kort botid i Norge, vg3 studieforberedende utdanningsprogram, muntlig;1;4,40;-
2017/18;Holmestrand videregående skole;PB;PB;vg 3;NOR1405;Norsk for elever i vgo med kort botid i Norge, vg3 studieforberedende utdanningsprogram, skriftlig;1;-;-2,00
2017/18;Holmestrand videregående skole;PB;PB;vg 3;NOR1231;Norsk hovedmål, vg3 påbygging til generell studiekompetanse, skriftlig;28;2,97;-1,64
2017/18;Holmestrand videregående skole;PB;PB;vg 3;NOR1232;Norsk sidemål, vg3 påbygging til generell studiekompetanse, skriftlig;28;3,51;-1,18
2017/18;Holmestrand videregående skole;PB;PB;vg 3;NOR1233;Norsk, vg3 påbygging til generell studiekompetanse, muntlig;28;3,50;-
2017/18;Holmestrand videregående skole;PB;PB;vg 3;SAM3019;Sosiologi og sosialantropologi;12;-;-
2017/18;Holmestrand videregående skole;YF;RM;vg 1;RMF1003;Bransje, fag og miljø;8;-;-
2017/18;Holmestrand videregående skole;YF;RM;vg 1;ENG1001;Engelsk, vg1 yrkesfaglige utdanningprogram;8;4,67;-
2017/18;Holmestrand videregående skole;YF;RM;vg 2;ENG1003;Engelsk, vg2 yrkesfaglige utdanningsprogram;6;-;-0,60
2017/18;Holmestrand videregående skole;YF;RM;vg 1;RMF1002;Kosthold og livsstil;8;3,56;-
2017/18;Holmestrand videregående skole;YF;RM;vg 2;RFG2002;Kosthold, ernæring og helse;6;3,45;-
2017/18;Holmestrand videregående skole;YF;RM;vg 1;KRO1004;Kroppsøving vg1;8;3,29;-
2017/18;Holmestrand videregående skole;YF;RM;vg 2;KRO1005;Kroppsøving vg2;6;3,09;-
2017/18;Holmestrand videregående skole;YF;RM;vg 1;MAT1001;Matematikk 1P-Y;8;-;-
2017/18;Holmestrand videregående skole;YF;RM;vg 1;NAT1001;Naturfag, vg1 yrkesfaglig utdanningsprogram;8;-;-
2017/18;Holmestrand videregående skole;YF;RM;vg 1;NOR1204;Norsk, vg1 yrkesfaglige utdanningsprogram;8;4,11;-
2017/18;Holmestrand videregående skole;YF;RM;vg 2;NOR1206;Norsk, vg2 yrkesfaglige utdanningsprogram;6;-;-
2017/18;Holmestrand videregående skole;YF;RM;vg 1;RMF1001;Råstoff og produksjon;8;2,89;-
2017/18;Holmestrand videregående skole;YF;RM;vg 2;RFG2001;Råvarer og produksjon;6;3,73;-
2017/18;Holmestrand videregående skole;YF;RM;vg 2;SAF1001;Samfunnsfag;6;-;-
2017/18;Holmestrand videregående skole;YF;RM;vg 2;RFG2003;Servering, bransje og miljø;6;-;-
2017/18;Holmestrand videregående skole;YF;RM;vg 2;RFG2004;Tverrfaglig eksamen kokk- og servitørfag;5;3,45;-
2017/18;Holmestrand videregående skole;YF;RM;vg 1;YFF4106;Yrkesfaglig fordypning vg1;8;-;-
2017/18;Holmestrand videregående skole;YF;RM;vg 2;YFF4209;Yrkesfaglig fordypning vg2;6;-;-
2017/18;Holmestrand videregående skole;SF;ST;vg 2;REA3002;Biologi 2;2;4,20;-
2017/18;Holmestrand videregående skole;SF;ST;vg 3;REA3002;Biologi 2;10;4,15;-1,56
2017/18;Holmestrand videregående skole;SF;ST;vg 1;ENG1002;Engelsk, vg1 studieforberedende utdanningsprogram;32;4,55;-0,70
2017/18;Holmestrand videregående skole;SF;ST;vg 1;FSP5022;Fransk II, 1. år;5;-;-
2017/18;Holmestrand videregående skole;SF;ST;vg 2;REA3004;Fysikk 1;9;4,58;-
2017/18;Holmestrand videregående skole;SF;ST;vg 3;REA3005;Fysikk 2;9;5,00;-
2017/18;Holmestrand videregående skole;SF;ST;vg 1;GEO1001;Geografi;31;4,80;-
2017/18;Holmestrand videregående skole;SF;ST;vg 2;HIS1001;Historie vg2 studieforberedende utdanningsprogram;32;4,73;-
2017/18;Holmestrand videregående skole;SF;ST;vg 1;HIS1003;Historie vg3 påbygging til generell studiekompetanse;1;-;-
2017/18;Holmestrand videregående skole;SF;ST;vg 3;HIS1002;Historie vg3 studieforberedende utdanningsprogram;51;3,79;-
2017/18;Holmestrand videregående skole;SF;ST;vg 1;REA3014;Informasjonsteknologi 1;1;-;-
2017/18;Holmestrand videregående skole;SF;ST;vg 2;REA3014;Informasjonsteknologi 1;10;3,72;-
2017/18;Holmestrand videregående skole;SF;ST;vg 3;REA3014;Informasjonsteknologi 1;1;-;-
2017/18;Holmestrand videregående skole;SF;ST;vg 3;REA3015;Informasjonsteknologi 2;16;4,27;-2,14
2017/18;Holmestrand videregående skole;SF;ST;vg 2;SPR3009;Internasjonal engelsk, muntlig;12;4,50;-
2017/18;Holmestrand videregående skole;SF;ST;vg 2;SPR3008;Internasjonal engelsk, skriftlig;12;-;-0,20
2017/18;Holmestrand videregående skole;SF;ST;vg 2;REA3011;Kjemi 1;8;4,40;-
2017/18;Holmestrand videregående skole;SF;ST;vg 3;REA3012;Kjemi 2;7;4,15;-
2017/18;Holmestrand videregående skole;SF;ST;vg 3;REA3013;Kjemi 2, muntlig-praktisk;1;-;-
2017/18;Holmestrand videregående skole;SF;ST;vg 1;KRO1004;Kroppsøving vg1;31;3,85;-
2017/18;Holmestrand videregående skole;SF;ST;vg 2;KRO1005;Kroppsøving vg2;32;3,91;-
2017/18;Holmestrand videregående skole;SF;ST;vg 1;KRO1006;Kroppsøving vg3;1;-;-
2017/18;Holmestrand videregående skole;SF;ST;vg 3;KRO1006;Kroppsøving vg3;51;4,77;-
2017/18;Holmestrand videregående skole;SF;ST;vg 2;SAM3005;Markedsføring og ledelse 1;17;3,97;-
2017/18;Holmestrand videregående skole;SF;ST;vg 3;SAM3005;Markedsføring og ledelse 1;3;-;-
2017/18;Holmestrand videregående skole;SF;ST;vg 3;SAM3006;Markedsføring og ledelse 2;15;-;-0,64
2017/18;Holmestrand videregående skole;SF;ST;vg 1;MAT1011;Matematikk 1P;24;4,46;-
2017/18;Holmestrand videregående skole;SF;ST;vg 2;MAT1011;Matematikk 1P;1;2,08;-
2017/18;Holmestrand videregående skole;SF;ST;vg 1;MAT1013;Matematikk 1T;15;4,62;-
2017/18;Holmestrand videregående skole;SF;ST;vg 2;MAT1015;Matematikk 2P;16;-;-1,22
2017/18;Holmestrand videregående skole;SF;ST;vg 3;MAT1015;Matematikk 2P;3;-;-
2017/18;Holmestrand videregående skole;SF;ST;vg 1;MAT1005;Matematikk 2P-Y;1;-;-
2017/18;Holmestrand videregående skole;SF;ST;vg 2;REA3022;Matematikk R1;8;-;-2,60
2017/18;Holmestrand videregående skole;SF;ST;vg 3;REA3022;Matematikk R1;1;-;-
2017/18;Holmestrand videregående skole;SF;ST;vg 3;REA3024;Matematikk R2;12;4,31;-1,17
2017/18;Holmestrand videregående skole;SF;ST;vg 2;REA3026;Matematikk S1;12;4,91;-1,00
2017/18;Holmestrand videregående skole;SF;ST;vg 3;REA3026;Matematikk S1;1;-;-
2017/18;Holmestrand videregående skole;SF;ST;vg 3;REA3028;Matematikk S2;14;5,36;-3,08
2017/18;Holmestrand videregående skole;SF;ST;vg 1;MOK2001;Mediesamfunnet 1;1;-;-
2017/18;Holmestrand videregående skole;SF;ST;vg 1;MOK2005;Medieuttrykk 1;1;-;-
2017/18;Holmestrand videregående skole;SF;ST;vg 1;NAT1002;Naturfag, vg1 studieforberedende utdanningsprogram;32;4,66;-
2017/18;Holmestrand videregående skole;SF;ST;vg 1;NAT1003;Naturfag, vg3 påbygging til generell studiekompetanse;1;3,80;-
2017/18;Holmestrand videregående skole;SF;ST;vg 1;NOR1201;Norsk hovedmål, vg1 studieforberedende utdanningsprogram, skriftlig;32;4,28;-
2017/18;Holmestrand videregående skole;SF;ST;vg 2;NOR1208;Norsk hovedmål, vg2 studieforberedende utdanningsprogram, skriftlig;32;5,36;-
2017/18;Holmestrand videregående skole;SF;ST;vg 1;NOR1231;Norsk hovedmål, vg3 påbygging til generell studiekompetanse, skriftlig;1;-;-
2017/18;Holmestrand videregående skole;SF;ST;vg 3;NOR1211;Norsk hovedmål, vg3 studieforberedende utdanningsprogram, skriftlig;51;4,84;-0,90
2017/18;Holmestrand videregående skole;SF;ST;vg 3;NOR1212;Norsk sidemål,  vg3 studieforberedende utdanningsprogram, skriftlig;51;3,97;-0,75
2017/18;Holmestrand videregående skole;SF;ST;vg 1;NOR1202;Norsk sidemål, vg1 studieforberedende utdanningsprogram, skriftlig;32;4,78;-
2017/18;Holmestrand videregående skole;SF;ST;vg 2;NOR1209;Norsk sidemål, vg2 studieforberedende utdanningsprogram, skriftlig;32;4,36;-
2017/18;Holmestrand videregående skole;SF;ST;vg 1;NOR1232;Norsk sidemål, vg3 påbygging til generell studiekompetanse, skriftlig;1;-;-
2017/18;Holmestrand videregående skole;SF;ST;vg 1;NOR1203;Norsk, vg1 studieforberedende utdanningsprogram, muntlig;32;4,59;-
2017/18;Holmestrand videregående skole;SF;ST;vg 2;NOR1210;Norsk, vg2 studieforberedende utdanningsprogram, muntlig;32;4,64;-
2017/18;Holmestrand videregående skole;SF;ST;vg 1;NOR1233;Norsk, vg3 påbygging til generell studiekompetanse, muntlig;1;-;-
2017/18;Holmestrand videregående skole;SF;ST;vg 3;NOR1213;Norsk, vg3 studieforberedende utdanningsprogram, muntlig;51;4,26;-
2017/18;Holmestrand videregående skole;SF;ST;vg 3;SAM3020;Politikk og menneskerettigheter;19;3,43;-1,53
2017/18;Holmestrand videregående skole;SF;ST;vg 3;REL1001;Religion og etikk;51;4,24;-
2017/18;Holmestrand videregående skole;SF;ST;vg 2;SAM3022;Rettslære 1;21;3,94;-
2017/18;Holmestrand videregående skole;SF;ST;vg 3;SAM3023;Rettslære 2;31;3,84;-0,67
2017/18;Holmestrand videregående skole;SF;ST;vg 1;SAF1001;Samfunnsfag;31;4,80;-
2017/18;Holmestrand videregående skole;SF;ST;vg 3;SPR3011;Samfunnsfaglig engelsk, muntlig;8;-;-
2017/18;Holmestrand videregående skole;SF;ST;vg 3;SPR3010;Samfunnsfaglig engelsk, skriftlig;8;-;-
2017/18;Holmestrand videregående skole;SF;ST;vg 2;SAM3019;Sosiologi og sosialantropologi;19;4,78;-
2017/18;Holmestrand videregående skole;SF;ST;vg 2;FSP5095;Spansk II;10;5,17;-1,50
2017/18;Holmestrand videregående skole;SF;ST;vg 3;FSP5095;Spansk II;1;-;-
2017/18;Holmestrand videregående skole;SF;ST;vg 1;FSP5094;Spansk II, 1. år;14;5,27;-
2017/18;Holmestrand videregående skole;SF;ST;vg 2;FSP5119;Tysk I;6;-;-
2017/18;Holmestrand videregående skole;SF;ST;vg 3;FSP5119;Tysk I;2;-;-
2017/18;Holmestrand videregående skole;SF;ST;vg 1;FSP5118;Tysk I, 1. år;4;-;-
2017/18;Holmestrand videregående skole;SF;ST;vg 3;FSP5125;Tysk I+II;13;4,27;-1,25
2017/18;Holmestrand videregående skole;SF;ST;vg 1;FSP5123;Tysk I+II, 1. år;3;-;-
2017/18;Holmestrand videregående skole;SF;ST;vg 2;FSP5124;Tysk I+II, 2. år;8;4,00;-
2017/18;Holmestrand videregående skole;SF;ST;vg 2;FSP5122;Tysk II;6;-;-
2017/18;Holmestrand videregående skole;SF;ST;vg 3;FSP5122;Tysk II;1;-;-
2017/18;Holmestrand videregående skole;SF;ST;vg 1;FSP5121;Tysk II, 1. år;6;-;-
2017/18;Holmestrand videregående skole;YF;TP;vg 1;TIP1003;Dokumentasjon og kvalitet;13;3,36;-
2017/18;Holmestrand videregående skole;YF;TP;vg 1;ENG1001;Engelsk, vg1 yrkesfaglige utdanningprogram;13;3,45;-
2017/18;Holmestrand videregående skole;YF;TP;vg 1;KRO1004;Kroppsøving vg1;13;-;-
2017/18;Holmestrand videregående skole;YF;TP;vg 1;MAT1001;Matematikk 1P-Y;13;2,78;-1,00
2017/18;Holmestrand videregående skole;YF;TP;vg 1;NAT1001;Naturfag, vg1 yrkesfaglig utdanningsprogram;13;-;-
2017/18;Holmestrand videregående skole;YF;TP;vg 1;NOR1204;Norsk, vg1 yrkesfaglige utdanningsprogram;13;-;-
2017/18;Holmestrand videregående skole;YF;TP;vg 1;TIP1001;Produksjon;13;3,40;-
2017/18;Holmestrand videregående skole;YF;TP;vg 1;TIP1002;Tekniske tjenester;13;3,70;-
2017/18;Holmestrand videregående skole;YF;TP;vg 1;YFF4106;Yrkesfaglig fordypning vg1;13;2,89;-
2017/18;Horten videregående skole;YF;DH;vg 1;ENG1001;Engelsk, vg1 yrkesfaglige utdanningprogram;26;4,13;-
2017/18;Horten videregående skole;YF;DH;vg 2;ENG1003;Engelsk, vg2 yrkesfaglige utdanningsprogram;22;3,29;-
2017/18;Horten videregående skole;YF;DH;vg 2;FRI2002;Frisyredesign;9;-;-
2017/18;Horten videregående skole;YF;DH;vg 1;KRO1004;Kroppsøving vg1;26;4,20;-
2017/18;Horten videregående skole;YF;DH;vg 2;KRO1005;Kroppsøving vg2;22;4,10;-
2017/18;Horten videregående skole;YF;DH;vg 1;DHV1002;Kvalitet og dokumentasjon;11;-;-
2017/18;Horten videregående skole;YF;DH;vg 1;MAT1001;Matematikk 1P-Y;26;4,88;-
2017/18;Horten videregående skole;YF;DH;vg 1;MED1002;Mediedesign og medieuttrykk;15;3,42;-
2017/18;Horten videregående skole;YF;DH;vg 2;MED2002;Mediedesign og medieuttrykk;13;-;-
2017/18;Horten videregående skole;YF;DH;vg 1;MED1001;Mediekommunikasjon;15;4,07;-
2017/18;Horten videregående skole;YF;DH;vg 2;MED2001;Mediekommunikasjon;13;4,20;-
2017/18;Horten videregående skole;YF;DH;vg 1;MED1003;Medieproduksjon;15;4,78;-
2017/18;Horten videregående skole;YF;DH;vg 2;MED2003;Medieproduksjon;13;4,59;-
2017/18;Horten videregående skole;YF;DH;vg 1;NAT1001;Naturfag, vg1 yrkesfaglig utdanningsprogram;26;4,78;-
2017/18;Horten videregående skole;YF;DH;vg 2;NOR1408;Norsk for elever i vgo med kort botid i Norge, vg2 yrkesfaglige utdanningsprogram;1;-;-
2017/18;Horten videregående skole;YF;DH;vg 1;NOR1204;Norsk, vg1 yrkesfaglige utdanningsprogram;26;4,29;-
2017/18;Horten videregående skole;YF;DH;vg 2;NOR1206;Norsk, vg2 yrkesfaglige utdanningsprogram;22;3,10;-
2017/18;Horten videregående skole;YF;DH;vg 1;DHV1001;Produksjon;11;3,67;-
2017/18;Horten videregående skole;YF;DH;vg 2;FRI2001;Produksjon;9;-;-
2017/18;Horten videregående skole;YF;DH;vg 2;SAF1001;Samfunnsfag;22;3,80;-
2017/18;Horten videregående skole;YF;DH;vg 2;FRI2003;Tverrfaglig eksamen frisør;8;3,70;-
2017/18;Horten videregående skole;YF;DH;vg 2;MED2004;Tverrfaglig eksamen medier og kommunikasjon;13;3,84;-
2017/18;Horten videregående skole;YF;DH;vg 1;YFF4106;Yrkesfaglig fordypning vg1;26;3,76;-
2017/18;Horten videregående skole;YF;DH;vg 2;YFF4209;Yrkesfaglig fordypning vg2;22;3,50;-
2017/18;Horten videregående skole;YF;EL;vg 3;DAT3002;Apparat og utstyr;12;3,67;-
2017/18;Horten videregående skole;YF;EL;vg 1;ELE1003;Automatiseringssystemer;46;3,75;-
2017/18;Horten videregående skole;YF;EL;vg 2;AUT2001;Automatiseringssystemer;14;4,11;-
2017/18;Horten videregående skole;YF;EL;vg 2;ELE2002;Automatiseringssystemer;16;4,45;-
2017/18;Horten videregående skole;YF;EL;vg 3;AUT3001;Automatiseringssystemer;9;3,95;-
2017/18;Horten videregående skole;YF;EL;vg 1;ELE1001;Data- og elektronikksystemer;46;4,25;-
2017/18;Horten videregående skole;YF;EL;vg 2;DEL2001;Data- og elektronikksystemer;12;4,60;-
2017/18;Horten videregående skole;YF;EL;vg 2;ELE2003;Data- og elektronikksystemer;16;-;-
2017/18;Horten videregående skole;YF;EL;vg 3;DAT4002;Dataelektronikerfaget;12;4,00;-
2017/18;Horten videregående skole;YF;EL;vg 2;DEL2002;Elektronisk infrastruktur;12;-;-
2017/18;Horten videregående skole;YF;EL;vg 1;ELE1002;Elenergisystemer;46;4,00;-
2017/18;Horten videregående skole;YF;EL;vg 2;AUT2002;Elenergisystemer;14;3,53;-
2017/18;Horten videregående skole;YF;EL;vg 2;ELE2001;Elenergisystemer;16;4,45;-
2017/18;Horten videregående skole;YF;EL;vg 3;AUT3003;Elenergisystemer;9;-;-
2017/18;Horten videregående skole;YF;EL;vg 1;ENG1001;Engelsk, vg1 yrkesfaglige utdanningprogram;46;3,71;-
2017/18;Horten videregående skole;YF;EL;vg 2;ENG1003;Engelsk, vg2 yrkesfaglige utdanningsprogram;44;4,30;-0,67
2017/18;Horten videregående skole;YF;EL;vg 1;KRO1004;Kroppsøving vg1;46;4,08;-
2017/18;Horten videregående skole;YF;EL;vg 2;KRO1005;Kroppsøving vg2;44;4,35;-
2017/18;Horten videregående skole;YF;EL;vg 3;KRO1006;Kroppsøving vg3;21;3,92;-
2017/18;Horten videregående skole;YF;EL;vg 1;MAT1001;Matematikk 1P-Y;46;3,61;0,00
2017/18;Horten videregående skole;YF;EL;vg 3;REA3022;Matematikk R1;1;2,50;-
2017/18;Horten videregående skole;YF;EL;vg 3;AUT3002;Mekanisk arbeid;9;3,33;-
2017/18;Horten videregående skole;YF;EL;vg 1;NAT1001;Naturfag, vg1 yrkesfaglig utdanningsprogram;46;3,87;-
2017/18;Horten videregående skole;YF;EL;vg 2;NOR1408;Norsk for elever i vgo med kort botid i Norge, vg2 yrkesfaglige utdanningsprogram;2;-;-
2017/18;Horten videregående skole;YF;EL;vg 1;NOR1204;Norsk, vg1 yrkesfaglige utdanningsprogram;46;3,98;-
2017/18;Horten videregående skole;YF;EL;vg 2;NOR1206;Norsk, vg2 yrkesfaglige utdanningsprogram;44;3,57;-
2017/18;Horten videregående skole;YF;EL;vg 2;SAF1001;Samfunnsfag;44;3,61;-
2017/18;Horten videregående skole;YF;EL;vg 3;DAT3001;System og infrastruktur;12;3,06;-
2017/18;Horten videregående skole;YF;EL;vg 2;ELE2004;Tverrfaglig eksamen elenergi;16;4,54;-
2017/18;Horten videregående skole;YF;EL;vg 2;AUT2003;Tverrfaglig eksamen i automatisering;14;3,56;-
2017/18;Horten videregående skole;YF;EL;vg 2;DEL2003;Tverrfaglig eksamen i data og elektronikk;11;4,10;-
2017/18;Horten videregående skole;YF;EL;vg 3;AUT4002;Tverrfaglig eksamen, automatiseringsfaget;9;4,00;-
2017/18;Horten videregående skole;YF;EL;vg 1;YFF4106;Yrkesfaglig fordypning vg1;46;4,22;-
