Skoleår;Utdanningsprogram;Nivå;Skole;Antall elever 2023/24;Elevgrunnlag for totalfravær 2023/24;Totalfravær (%) i 2023/24;Antall fraværsdager i 2023/24;Antall fraværtimer i 2023/24
2023/24;ME;vg1;Vestfold;66;63;8,3%;9,5;31,5
2023/24;ME;vg1;Horten videregående skole;28;27;6,4%;7,5;23,7
2023/24;ME;vg1;Melsom videregående skole;13;12;14,1%;22,3;21,4
2023/24;ME;vg1;Thor Heyerdahl videregående skole;25;24;7,4%;5,2;45,3
2023/24;ME;vg2;Vestfold;51;48;7,4%;9,5;22,9
2023/24;ME;vg2;Horten videregående skole;25;23;8,4%;10,9;25,1
2023/24;ME;vg2;Melsom videregående skole;4;4;5,3%;6,5;18,0
2023/24;ME;vg2;Thor Heyerdahl videregående skole;22;21;6,7%;8,5;21,3
2023/24;ME;vg3;Vestfold;57;56;11,1%;14,6;32,7
2023/24;ME;vg3;Horten videregående skole;23;23;13,8%;18,2;40,3
2023/24;ME;vg3;Melsom videregående skole;9;8;14,0%;19,5;35,0
2023/24;ME;vg3;Sande videregående skole;7;7;7,9%;11,0;20,1
2023/24;ME;vg3;Thor Heyerdahl videregående skole;18;18;7,7%;9,2;26,9
2023/24;NA;Totalt;Vestfold;77;76;7,2%;8,2;27,9
2023/24;NA;vg1;Vestfold;42;41;7,3%;8,4;27,4
2023/24;NA;vg1;Melsom videregående skole;42;41;7,3%;8,4;27,4
2023/24;NA;vg2;Vestfold;33;33;7,5%;8,2;30,1
2023/24;NA;vg2;Melsom videregående skole;33;33;7,5%;8,2;30,1
2023/24;NA;vg3;Vestfold;2;2;2,1%;3,0;5,0
2023/24;NA;vg3;Melsom videregående skole;2;2;2,1%;3,0;5,0
2023/24;PB;Totalt;Vestfold;468;448;10,2%;11,2;34,8
2023/24;PB;vg3;Vestfold;468;448;10,2%;11,2;34,8
2023/24;PB;vg3;Færder videregående skole;131;122;8,0%;9,0;18,7
2023/24;PB;vg3;Holmestrand videregående skole;38;36;15,1%;18,3;38,3
2023/24;PB;vg3;Horten videregående skole;57;57;8,5%;9,9;32,1
2023/24;PB;vg3;Melsom videregående skole;28;26;6,8%;7,0;21,2
2023/24;PB;vg3;Nøtterøy videregående skole;14;14;9,0%;11,7;26,9
2023/24;PB;vg3;Re videregående skole;31;30;5,4%;7,7;12,3
2023/24;PB;vg3;Sande videregående skole;27;27;9,5%;11,5;32,9
2023/24;PB;vg3;Sandefjord videregående skole;78;75;12,3%;11,6;53,3
