År;Utdanningsprogram;Spoersmaalgruppekode;Spoersmaalkode;SvaralternativKode;Avgiver_Fylkenavn;Spoersmaalgruppe;Spoersmaalnavn;SvaralternativNavn;Antall;Andel
2025-26;Restaurant- og matfag;LLUIndeks_1;LLUSpoersmaal_Q10694;Alle;Hele landet;Yrkesfaglig fordypning (YFF);Hvor enig eller uenig er du i følgende utsagn? YFF ga meg viktig kjennskap til arbeidslivet;Alle svar;375;4
2025-26;Restaurant- og matfag;LLUIndeks_3;LLUSpoersmaal_Q10905;Alle;Hele landet;Motivasjon;gleder du deg til å gå på arbeid i lærebedriften?;Alle svar;422;3,9
2025-26;Restaurant- og matfag;LLUIndeks_4;LLUSpoersmaal_Q10701;Alle;Hele landet;Trivsel;trives du på arbeidsplassen?;Alle svar;422;4,2
2025-26;Restaurant- og matfag;LLUIndeks_4;LLUSpoersmaal_Q10700;Alle;Hele landet;Trivsel;er du fornøyd med opplæringen du har fått på arbeidsplassen så langt?;Alle svar;421;3,9
2025-26;Restaurant- og matfag;LLUIndeks_9;LLUSpoersmaal_Q10722;Alle;Hele landet;Medvirkning, veiledning og egenvurdering;får du tilbakemelding på arbeidet ditt, slik at du kan bli bedre i faget?;Alle svar;421;4
2025-26;Restaurant- og matfag;LLUIndeks_1;LLUSpoersmaal_Q10694;Alle;Vestfold;Yrkesfaglig fordypning (YFF);Hvor enig eller uenig er du i følgende utsagn? YFF ga meg viktig kjennskap til arbeidslivet;Alle svar;23;4
2025-26;Restaurant- og matfag;LLUIndeks_3;LLUSpoersmaal_Q10905;Alle;Vestfold;Motivasjon;gleder du deg til å gå på arbeid i lærebedriften?;Alle svar;*;*
2025-26;Restaurant- og matfag;LLUIndeks_4;LLUSpoersmaal_Q10701;Alle;Vestfold;Trivsel;trives du på arbeidsplassen?;Alle svar;26;4,2
2025-26;Restaurant- og matfag;LLUIndeks_4;LLUSpoersmaal_Q10700;Alle;Vestfold;Trivsel;er du fornøyd med opplæringen du har fått på arbeidsplassen så langt?;Alle svar;26;4
2025-26;Restaurant- og matfag;LLUIndeks_9;LLUSpoersmaal_Q10722;Alle;Vestfold;Medvirkning, veiledning og egenvurdering;får du tilbakemelding på arbeidet ditt, slik at du kan bli bedre i faget?;Alle svar;26;4
2025-26;Salg, service og reiseliv;LLUIndeks_1;LLUSpoersmaal_Q10694;Alle;Hele landet;Yrkesfaglig fordypning (YFF);Hvor enig eller uenig er du i følgende utsagn? YFF ga meg viktig kjennskap til arbeidslivet;Alle svar;595;4
2025-26;Salg, service og reiseliv;LLUIndeks_3;LLUSpoersmaal_Q10905;Alle;Hele landet;Motivasjon;gleder du deg til å gå på arbeid i lærebedriften?;Alle svar;688;4
2025-26;Salg, service og reiseliv;LLUIndeks_4;LLUSpoersmaal_Q10701;Alle;Hele landet;Trivsel;trives du på arbeidsplassen?;Alle svar;687;4,3
2025-26;Salg, service og reiseliv;LLUIndeks_4;LLUSpoersmaal_Q10700;Alle;Hele landet;Trivsel;er du fornøyd med opplæringen du har fått på arbeidsplassen så langt?;Alle svar;687;4
2025-26;Salg, service og reiseliv;LLUIndeks_9;LLUSpoersmaal_Q10722;Alle;Hele landet;Medvirkning, veiledning og egenvurdering;får du tilbakemelding på arbeidet ditt, slik at du kan bli bedre i faget?;Alle svar;682;4
2025-26;Salg, service og reiseliv;LLUIndeks_1;LLUSpoersmaal_Q10694;Alle;Vestfold;Yrkesfaglig fordypning (YFF);Hvor enig eller uenig er du i følgende utsagn? YFF ga meg viktig kjennskap til arbeidslivet;Alle svar;48;3,9
2025-26;Salg, service og reiseliv;LLUIndeks_3;LLUSpoersmaal_Q10905;Alle;Vestfold;Motivasjon;gleder du deg til å gå på arbeid i lærebedriften?;Alle svar;56;3,6
2025-26;Salg, service og reiseliv;LLUIndeks_4;LLUSpoersmaal_Q10701;Alle;Vestfold;Trivsel;trives du på arbeidsplassen?;Alle svar;56;4,2
2025-26;Salg, service og reiseliv;LLUIndeks_4;LLUSpoersmaal_Q10700;Alle;Vestfold;Trivsel;er du fornøyd med opplæringen du har fått på arbeidsplassen så langt?;Alle svar;56;3,8
2025-26;Salg, service og reiseliv;LLUIndeks_9;LLUSpoersmaal_Q10722;Alle;Vestfold;Medvirkning, veiledning og egenvurdering;får du tilbakemelding på arbeidet ditt, slik at du kan bli bedre i faget?;Alle svar;55;3,9
2025-26;Teknologi- og industrifag;LLUIndeks_1;LLUSpoersmaal_Q10694;Alle;Hele landet;Yrkesfaglig fordypning (YFF);Hvor enig eller uenig er du i følgende utsagn? YFF ga meg viktig kjennskap til arbeidslivet;Alle svar;2 091;4
2025-26;Teknologi- og industrifag;LLUIndeks_3;LLUSpoersmaal_Q10905;Alle;Hele landet;Motivasjon;gleder du deg til å gå på arbeid i lærebedriften?;Alle svar;2 469;4
2025-26;Teknologi- og industrifag;LLUIndeks_4;LLUSpoersmaal_Q10701;Alle;Hele landet;Trivsel;trives du på arbeidsplassen?;Alle svar;2 471;4,3
2025-26;Teknologi- og industrifag;LLUIndeks_4;LLUSpoersmaal_Q10700;Alle;Hele landet;Trivsel;er du fornøyd med opplæringen du har fått på arbeidsplassen så langt?;Alle svar;2 469;4,1
2025-26;Teknologi- og industrifag;LLUIndeks_9;LLUSpoersmaal_Q10722;Alle;Hele landet;Medvirkning, veiledning og egenvurdering;får du tilbakemelding på arbeidet ditt, slik at du kan bli bedre i faget?;Alle svar;2 460;3,9
2025-26;Teknologi- og industrifag;LLUIndeks_1;LLUSpoersmaal_Q10694;Alle;Vestfold;Yrkesfaglig fordypning (YFF);Hvor enig eller uenig er du i følgende utsagn? YFF ga meg viktig kjennskap til arbeidslivet;Alle svar;104;4
2025-26;Teknologi- og industrifag;LLUIndeks_3;LLUSpoersmaal_Q10905;Alle;Vestfold;Motivasjon;gleder du deg til å gå på arbeid i lærebedriften?;Alle svar;124;4
2025-26;Teknologi- og industrifag;LLUIndeks_4;LLUSpoersmaal_Q10701;Alle;Vestfold;Trivsel;trives du på arbeidsplassen?;Alle svar;124;4,3
2025-26;Teknologi- og industrifag;LLUIndeks_4;LLUSpoersmaal_Q10700;Alle;Vestfold;Trivsel;er du fornøyd med opplæringen du har fått på arbeidsplassen så langt?;Alle svar;124;3,9
2025-26;Teknologi- og industrifag;LLUIndeks_9;LLUSpoersmaal_Q10722;Alle;Vestfold;Medvirkning, veiledning og egenvurdering;får du tilbakemelding på arbeidet ditt, slik at du kan bli bedre i faget?;Alle svar;124;4
