År;Utdanningsprogram;Spoersmaalgruppekode;Spoersmaalkode;SvaralternativKode;Avgiver_Fylkenavn;Spoersmaalgruppe;Spoersmaalnavn;SvaralternativNavn;Antall;Snitt
2023-24;Helse- og oppvekstfag;LLUIndeks_2;LLUSpoersmaal_Q10695;Alle;Hele landet;Opplæring i skole som forberedelse til opplæring i arbeidslivet;Undervisningen i yrkesfagene på skolen ga et godt grunnlag for det jeg skulle lære i bedriften;Alle svar;2 119;3,9
2023-24;Helse- og oppvekstfag;LLUIndeks_3;LLUSpoersmaal_Q10905;Alle;Hele landet;Motivasjon;Gleder du deg til å gå på arbeid i lærebedriften?;Alle svar;2 127;4,1
2023-24;Helse- og oppvekstfag;LLUIndeks_4;LLUSpoersmaal_Q10701;Alle;Hele landet;Trivsel;Trives du på arbeidsplassen?;Alle svar;2 133;4,1
2023-24;Helse- og oppvekstfag;LLUIndeks_4;LLUSpoersmaal_Q10700;Alle;Hele landet;Trivsel;Er du fornøyd med opplæringen du har fått på arbeidsplassen så langt?;Alle svar;2 126;3,9
2023-24;Helse- og oppvekstfag;LLUIndeks_9;LLUSpoersmaal_Q10722;Alle;Hele landet;Medvirkning, veiledning og egenvurdering;Får du tilbakemelding på arbeidet ditt, slik at du kan bli bedre i faget?;Alle svar;2 113;3,8
2023-24;Helse- og oppvekstfag;LLUIndeks_2;LLUSpoersmaal_Q10695;Alle;Vestfold;Opplæring i skole som forberedelse til opplæring i arbeidslivet;Undervisningen i yrkesfagene på skolen ga et godt grunnlag for det jeg skulle lære i bedriften;Alle svar;74;3,6
2023-24;Helse- og oppvekstfag;LLUIndeks_3;LLUSpoersmaal_Q10905;Alle;Vestfold;Motivasjon;Gleder du deg til å gå på arbeid i lærebedriften?;Alle svar;73;3,9
2023-24;Helse- og oppvekstfag;LLUIndeks_4;LLUSpoersmaal_Q10701;Alle;Vestfold;Trivsel;Trives du på arbeidsplassen?;Alle svar;74;4,1
2023-24;Helse- og oppvekstfag;LLUIndeks_4;LLUSpoersmaal_Q10700;Alle;Vestfold;Trivsel;Er du fornøyd med opplæringen du har fått på arbeidsplassen så langt?;Alle svar;74;3,9
2023-24;Helse- og oppvekstfag;LLUIndeks_9;LLUSpoersmaal_Q10722;Alle;Vestfold;Medvirkning, veiledning og egenvurdering;Får du tilbakemelding på arbeidet ditt, slik at du kan bli bedre i faget?;Alle svar;73;3,7
2023-24;Informasjonsteknologi og medieproduksjon;LLUIndeks_2;LLUSpoersmaal_Q10695;Alle;Hele landet;Opplæring i skole som forberedelse til opplæring i arbeidslivet;Undervisningen i yrkesfagene på skolen ga et godt grunnlag for det jeg skulle lære i bedriften;Alle svar;396;3,4
2023-24;Informasjonsteknologi og medieproduksjon;LLUIndeks_3;LLUSpoersmaal_Q10905;Alle;Hele landet;Motivasjon;Gleder du deg til å gå på arbeid i lærebedriften?;Alle svar;397;3,9
2023-24;Informasjonsteknologi og medieproduksjon;LLUIndeks_4;LLUSpoersmaal_Q10701;Alle;Hele landet;Trivsel;Trives du på arbeidsplassen?;Alle svar;391;4,3
