Geografi;År;Kjønn;Alder;Utdanningsnivå;andel (prosent);FLAGG
Hele landet;2018;kvinner;25 år +;grunnskole;21.5751812930336;
Hele landet;2018;kvinner;25-29 år;grunnskole;18.8669961756089;
Hele landet;2018;kvinner;30-39 år;grunnskole;17.2004021796287;
Hele landet;2018;kvinner;40-44 år;grunnskole;14.6174863387978;
Hele landet;2018;kvinner;45-74 år;grunnskole;20.8136928352964;
Hele landet;2018;kvinner;75 år +;grunnskole;38.9308782932647;
Hele landet;2019;kjønn samlet;25 år +;grunnskole;21.2469999874345;
Hele landet;2019;kjønn samlet;25-29 år;grunnskole;21.6920267470024;
Hele landet;2019;kjønn samlet;30-39 år;grunnskole;20.0310846110323;
Hele landet;2019;kjønn samlet;40-44 år;grunnskole;16.7636766643687;
Hele landet;2019;kjønn samlet;45-74 år;grunnskole;19.9784226178775;
Hele landet;2019;kjønn samlet;75 år +;grunnskole;32.8154397639277;
Hele landet;2019;menn;25 år +;grunnskole;21.3663671453196;
Hele landet;2019;menn;25-29 år;grunnskole;24.8666445743851;
Hele landet;2019;menn;30-39 år;grunnskole;22.8268165229608;
Hele landet;2019;menn;40-44 år;grunnskole;18.2829402978319;
Hele landet;2019;menn;45-74 år;grunnskole;19.677463127027;
Hele landet;2019;menn;75 år +;grunnskole;27.0651587959448;
Hele landet;2019;kvinner;25 år +;grunnskole;21.1276889193003;
Hele landet;2019;kvinner;25-29 år;grunnskole;18.368363327066;
Hele landet;2019;kvinner;30-39 år;grunnskole;17.1027239347622;
Hele landet;2019;kvinner;40-44 år;grunnskole;15.1561050079325;
Hele landet;2019;kvinner;45-74 år;grunnskole;20.2868139053053;
Hele landet;2019;kvinner;75 år +;grunnskole;37.1019803220886;
Hele landet;2020;kjønn samlet;25 år +;grunnskole;20.797483693344;
Hele landet;2020;kjønn samlet;25-29 år;grunnskole;20.8098346112414;
Hele landet;2020;kjønn samlet;30-39 år;grunnskole;19.6638914711539;
Hele landet;2020;kjønn samlet;40-44 år;grunnskole;17.3494631278337;
Hele landet;2020;kjønn samlet;45-74 år;grunnskole;19.5661852976117;
Hele landet;2020;kjønn samlet;75 år +;grunnskole;31.1765193206699;
Hele landet;2020;menn;25 år +;grunnskole;21.0320234932177;
Hele landet;2020;menn;25-29 år;grunnskole;23.9917991434184;
Hele landet;2020;menn;30-39 år;grunnskole;22.4996599809589;
Hele landet;2020;menn;40-44 år;grunnskole;19.1728161232851;
Hele landet;2020;menn;45-74 år;grunnskole;19.3565156997758;
Hele landet;2020;menn;75 år +;grunnskole;25.7444138135143;
Hele landet;2020;kvinner;25 år +;grunnskole;20.5624669186096;
Hele landet;2020;kvinner;25-29 år;grunnskole;17.4534790903584;
Hele landet;2020;kvinner;30-39 år;grunnskole;16.6901577819913;
Hele landet;2020;kvinner;40-44 år;grunnskole;15.4147086185921;
Hele landet;2020;kvinner;45-74 år;grunnskole;19.7811736894335;
Hele landet;2020;kvinner;75 år +;grunnskole;35.3059796013599;
Hele landet;2021;kjønn samlet;25 år +;grunnskole;20.3201619982151;
Hele landet;2021;kjønn samlet;25-29 år;grunnskole;19.761772562409;
Hele landet;2021;kjønn samlet;30-39 år;grunnskole;19.3031151075836;
Hele landet;2021;kjønn samlet;40-44 år;grunnskole;17.6596824810781;
Hele landet;2021;kjønn samlet;45-74 år;grunnskole;19.1771458325446;
Hele landet;2021;kjønn samlet;75 år +;grunnskole;29.4880835811242;
Hele landet;2021;menn;25 år +;grunnskole;20.6712395807599;
Hele landet;2021;menn;25-29 år;grunnskole;22.8308981521272;
Hele landet;2021;menn;30-39 år;grunnskole;22.1762406458976;
Hele landet;2021;menn;40-44 år;grunnskole;19.9051386953199;
Hele landet;2021;menn;45-74 år;grunnskole;19.0477897533541;
Hele landet;2021;menn;75 år +;grunnskole;24.5131811997844;
