Geografi;År;Kjønn;Alder;Utdanningsnivå;leveår;FLAGG
Holmestrand;2010-2016;menn;30 år;videregående eller høyere;82.089966;
Holmestrand;2010-2016;kvinner;30 år;alle utdanningsnivåer;84.454468;
Holmestrand;2010-2016;kvinner;30 år;grunnskole;81.830276;
Holmestrand;2010-2016;kvinner;30 år;videregående eller høyere;86.928154;
Holmestrand;2011-2017;kjønn samlet;30 år;alle utdanningsnivåer;82.106262;
Holmestrand;2011-2017;kjønn samlet;30 år;grunnskole;78.768799;
Holmestrand;2011-2017;kjønn samlet;30 år;videregående eller høyere;84.256729;
Holmestrand;2011-2017;menn;30 år;alle utdanningsnivåer;79.946533;
Holmestrand;2011-2017;menn;30 år;grunnskole;75.799515;
Holmestrand;2011-2017;menn;30 år;videregående eller høyere;82.104782;
Holmestrand;2011-2017;kvinner;30 år;alle utdanningsnivåer;84.265984;
Holmestrand;2011-2017;kvinner;30 år;grunnskole;81.738091;
Holmestrand;2011-2017;kvinner;30 år;videregående eller høyere;86.408691;
Holmestrand;2012-2018;kjønn samlet;30 år;alle utdanningsnivåer;82.371674;
Holmestrand;2012-2018;kjønn samlet;30 år;grunnskole;79.494812;
Holmestrand;2012-2018;kjønn samlet;30 år;videregående eller høyere;84.381996;
Holmestrand;2012-2018;menn;30 år;alle utdanningsnivåer;80.586624;
Holmestrand;2012-2018;menn;30 år;grunnskole;77.412567;
Holmestrand;2012-2018;menn;30 år;videregående eller høyere;82.30574;
Holmestrand;2012-2018;kvinner;30 år;alle utdanningsnivåer;84.156723;
Holmestrand;2012-2018;kvinner;30 år;grunnskole;81.577057;
Holmestrand;2012-2018;kvinner;30 år;videregående eller høyere;86.458252;
Holmestrand;2013-2019;kjønn samlet;30 år;alle utdanningsnivåer;82.751663;
Holmestrand;2013-2019;kjønn samlet;30 år;grunnskole;80.100998;
Holmestrand;2013-2019;kjønn samlet;30 år;videregående eller høyere;84.634552;
Holmestrand;2013-2019;menn;30 år;alle utdanningsnivåer;80.892906;
Holmestrand;2013-2019;menn;30 år;grunnskole;78.073814;
Holmestrand;2013-2019;menn;30 år;videregående eller høyere;82.573868;
Holmestrand;2013-2019;kvinner;30 år;alle utdanningsnivåer;84.610428;
Holmestrand;2013-2019;kvinner;30 år;grunnskole;82.128174;
Holmestrand;2013-2019;kvinner;30 år;videregående eller høyere;86.695236;
Holmestrand;2014-2020;kjønn samlet;30 år;alle utdanningsnivåer;82.829712;
Holmestrand;2014-2020;kjønn samlet;30 år;grunnskole;80.160873;
Holmestrand;2014-2020;kjønn samlet;30 år;videregående eller høyere;84.643326;
Holmestrand;2014-2020;menn;30 år;alle utdanningsnivåer;81.010422;
Holmestrand;2014-2020;menn;30 år;grunnskole;78.332619;
Holmestrand;2014-2020;menn;30 år;videregående eller høyere;82.743523;
Holmestrand;2014-2020;kvinner;30 år;alle utdanningsnivåer;84.648994;
Holmestrand;2014-2020;kvinner;30 år;grunnskole;81.989136;
Holmestrand;2014-2020;kvinner;30 år;videregående eller høyere;86.543129;
Holmestrand;2015-2021;kjønn samlet;30 år;alle utdanningsnivåer;83.096992;
Holmestrand;2015-2021;kjønn samlet;30 år;grunnskole;80.509789;
Holmestrand;2015-2021;kjønn samlet;30 år;videregående eller høyere;84.817421;
Holmestrand;2015-2021;menn;30 år;alle utdanningsnivåer;81.621826;
Holmestrand;2015-2021;menn;30 år;grunnskole;78.914284;
Holmestrand;2015-2021;menn;30 år;videregående eller høyere;83.327377;
Holmestrand;2015-2021;kvinner;30 år;alle utdanningsnivåer;84.572159;
Holmestrand;2015-2021;kvinner;30 år;grunnskole;82.105293;
Holmestrand;2015-2021;kvinner;30 år;videregående eller høyere;86.307465;
Holmestrand;2016-2022;kjønn samlet;30 år;alle utdanningsnivåer;83.122131;
Holmestrand;2016-2022;kjønn samlet;30 år;grunnskole;80.451881;
