EnhetNivaa;Nasjonaltkode;Fylkekode;Kommunekode;Organisasjonsnummer;Nasjonalt;Fylke;Kommune;EnhetNavn;2022-23.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Skalapoeng;2022-23.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Usikkerhet;2022-23.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Antall elever deltatt;2022-23.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 1;2022-23.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 2;2022-23.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 3;2022-23.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 4;2022-23.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 5;2023-24.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Skalapoeng;2023-24.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Usikkerhet;2023-24.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Antall elever deltatt;2023-24.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 1;2023-24.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 2;2023-24.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 3;2023-24.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 4;2023-24.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 5;2024-25.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Skalapoeng;2024-25.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Usikkerhet;2024-25.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Antall elever deltatt;2024-25.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 1;2024-25.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 2;2024-25.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 3;2024-25.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 4;2024-25.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 5;2025-26.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Skalapoeng;2025-26.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Usikkerhet;2025-26.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Antall elever deltatt;2025-26.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 1;2025-26.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 2;2025-26.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 3;2025-26.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 4;2025-26.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;I;39;3909;974584700;Hele landet;Vestfold;Larvik;Hedrum ungdomsskole;48;1,7;111;12,6;24,3;39,6;17,1;6,3;45;1,6;136;22,8;25;34,6;14,7;2,9;47;1,6;121;19,8;22,3;36,4;14,9;6,6;46;1,6;101;13,9;27,7;40,6;13,9;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;I;39;3909;915225713;Hele landet;Vestfold;Larvik;Kongshaugen Kristne grunnskole;47;2,5;17;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;I;39;3909;974584778;Hele landet;Vestfold;Larvik;Kvelde skole;*;*;*;*;*;*;*;*;49;2,5;38;2,6;28,9;47,4;15,8;5,3;47;2,1;34;*;29,4;55,9;8,8;*;*;*;*;*;*;*;*;*;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;I;39;3909;975271366;Hele landet;Vestfold;Larvik;Lardal skole;49;3,4;25;*;*;*;*;*;48;3,1;36;*;*;*;*;*;*;*;*;*;*;*;*;*;50;3,6;27;*;*;*;*;*;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;I;39;3909;974584743;Hele landet;Vestfold;Larvik;Mellomhagen ungdomsskole;49;1,9;77;6,5;24,7;44,2;19,5;5,2;45;2,1;67;20,9;26,9;38,8;10,4;3;49;1,7;74;5,4;18,9;54,1;16,2;5,4;49;2,3;69;10,1;23,2;36,2;21,7;8,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;I;39;3909;913998766;Hele landet;Vestfold;Larvik;Mesterfjellet skole;48;2,7;51;9,8;43,1;23,5;13,7;9,8;*;*;*;*;*;*;*;*;44;2,6;42;28,6;21,4;38,1;9,5;2,4;44;2,4;45;13,3;44,4;35,6;4,4;2,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;I;39;3909;985090254;Hele landet;Vestfold;Larvik;Ra ungdomsskole;52;1,7;118;4,2;16,9;39;21,2;18,6;48;2,1;99;19,2;19,2;30,3;24,2;7,1;48;1,8;88;10,2;22,7;45,5;17;4,5;49;1,9;86;8,1;26,7;37,2;16,3;11,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;I;39;3909;974584662;Hele landet;Vestfold;Larvik;Tjodalyng skole;51;2,7;64;10,9;17,2;34,4;21,9;15,6;51;2,7;42;4,8;23,8;38,1;21,4;11,9;50;2,5;54;7,4;22,2;35,2;24,1;11,1;48;2,3;50;10;22;44;20;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;I;39;3907;3907;Hele landet;Vestfold;Sandefjord;Alle skoler;51;0,7;766;11,4;18,8;32,8;22,5;14,6;49;0,7;772;13,5;21,8;37,4;18,1;9,2;50;0,7;758;9,6;17,7;40,5;23,6;8,6;48;0,6;774;12,3;22,5;39,4;20,5;5,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;I;39;3907;974606984;Hele landet;Vestfold;Sandefjord;Andebu ungdomsskole;46;2,3;66;19,7;30,3;31,8;15,2;3;45;2,1;77;19,5;28,6;39;11,7;1,3;49;2;73;6,8;28,8;35,6;23,3;5,5;48;2,1;63;9,5;28,6;36,5;20,6;4,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
