Fylke;Kommune;År;Ny_kum;0-20 kW;20-50 kW;50-100 kW;100-1000 kW;>1000 kW;Total
Vestfold;Vestfold;2015;Kum;7;0;0;0;0;7
Vestfold;Vestfold;2016;Kum;65;25;0;0;0;90
Vestfold;Vestfold;2017;Kum;251;55;0;0;0;306
Vestfold;Vestfold;2018;Kum;705;128;0;382;0;1215
Vestfold;Vestfold;2019;Kum;2291;648;326;2038;0;5303
Vestfold;Vestfold;2020;Kum;3659;982;516;2338;0;7495
Vestfold;Vestfold;2021;Kum;4909;1444;1321;4074;0;11748
Vestfold;Vestfold;2022;Kum;11033;3671;3333;6750;0;24787
Vestfold;Vestfold;2023;Kum;20424;8460;8360;11922;0;49166
Vestfold;Vestfold;2024;Kum;23018;10148;10651;16511;4400;64728
Vestfold;Vestfold;2025;Kum;23948;10604;11516;17690;4400;68158
Vestfold;Vestfold;Total;Kum;23948;10604;11516;17690;4400;68158
